"entity","label"
"http://dbpedia.org/resource/Dawson_(actor)","Dawson (actor)"
"http://dbpedia.org/resource/Julian_(actor)","Julian (actor)"
"http://dbpedia.org/resource/Jet_Li","Jet Li"
"http://dbpedia.org/resource/Annie_Sprinkle","Annie Sprinkle"
"http://dbpedia.org/resource/Lenny_Henry","Lenny Henry"
"http://dbpedia.org/resource/Johan_Paulik","Johan Paulik"
"http://dbpedia.org/resource/Maggie_Cheung","Maggie Cheung"
"http://dbpedia.org/resource/Michelle_Yeoh","Michelle Yeoh"
"http://dbpedia.org/resource/Tera_Patrick","Tera Patrick"
"http://dbpedia.org/resource/Zhang_Yimou","Zhang Yimou"
"http://dbpedia.org/resource/Andrew_McCulloch_(writer_and_actor)","Andrew McCulloch (writer and actor)"
"http://dbpedia.org/resource/David_Ross_(actor)","David Ross (actor)"
"http://dbpedia.org/resource/Ellesmere_Choi","Ellesmere Choi"
"http://dbpedia.org/resource/Gladys_Henson","Gladys Henson"
"http://dbpedia.org/resource/Gérard_Berliner","Gérard Berliner"
"http://dbpedia.org/resource/Gérard_Darrieu","Gérard Darrieu"
"http://dbpedia.org/resource/Gérard_Rinaldi","Gérard Rinaldi"
"http://dbpedia.org/resource/Gérard_Séty","Gérard Séty"
"http://dbpedia.org/resource/Jake_Deckard","Jake Deckard"
"http://dbpedia.org/resource/John_Bentley_(actor)","John Bentley (actor)"
"http://dbpedia.org/resource/Kandy_Wong","Kandy Wong"
"http://dbpedia.org/resource/Maho_Nonami","Maho Nonami"
"http://dbpedia.org/resource/Michiko_Godai","Michiko Godai"
"http://dbpedia.org/resource/Michiko_Hada","Michiko Hada"
"http://dbpedia.org/resource/Michiko_Hamamura","Michiko Hamamura"
"http://dbpedia.org/resource/Michiko_Kichise","Michiko Kichise"
"http://dbpedia.org/resource/Michiko_Maeda","Michiko Maeda"
"http://dbpedia.org/resource/Michiko_Tanaka","Michiko Tanaka"
"http://dbpedia.org/resource/Miho_Fujima","Miho Fujima"
"http://dbpedia.org/resource/Miho_Nikaido","Miho Nikaido"
"http://dbpedia.org/resource/Miho_Shiraishi","Miho Shiraishi"
"http://dbpedia.org/resource/Miho_Takagi_(actress)","Miho Takagi (actress)"
"http://dbpedia.org/resource/Nicholas_Selby","Nicholas Selby"
"http://dbpedia.org/resource/Rolf_Skoglund","Rolf Skoglund"
"http://dbpedia.org/resource/Taylor_Rain","Taylor Rain"
"http://dbpedia.org/resource/Ai_Kurosawa","Ai Kurosawa"
"http://dbpedia.org/resource/Alan_Cooke","Alan Cooke"
"http://dbpedia.org/resource/Alexandra_Quinn","Alexandra Quinn"
"http://dbpedia.org/resource/Andrew_Ellicott_(miller)","Andrew Ellicott (miller)"
"http://dbpedia.org/resource/Annie_Cruz","Annie Cruz"
"http://dbpedia.org/resource/Anthony_Wong_(Hong_Kong_actor)","Anthony Wong (Hong Kong actor)"
"http://dbpedia.org/resource/Ariana_(actress)","Ariana (actress)"
"http://dbpedia.org/resource/Atsuko_Sakuraba","Atsuko Sakuraba"
"http://dbpedia.org/resource/Aurore_Auteuil","Aurore Auteuil"
"http://dbpedia.org/resource/Brianna_Love","Brianna Love"
"http://dbpedia.org/resource/Carol_Connors_(actress)","Carol Connors (actress)"
"http://dbpedia.org/resource/Catalina_Cruz","Catalina Cruz"
"http://dbpedia.org/resource/Charles_Morgan_(actor)","Charles Morgan (actor)"
"http://dbpedia.org/resource/Chihiro_Hara","Chihiro Hara"
"http://dbpedia.org/resource/Chihiro_Hasegawa","Chihiro Hasegawa"
"http://dbpedia.org/resource/Chihiro_Otsuka","Chihiro Otsuka"
"http://dbpedia.org/resource/Dora_Venter","Dora Venter"
"http://dbpedia.org/resource/Eiko_Ando","Eiko Ando"
"http://dbpedia.org/resource/Eiko_Koike","Eiko Koike"
"http://dbpedia.org/resource/Eiko_Masuyama","Eiko Masuyama"
"http://dbpedia.org/resource/Eiko_Matsuda","Eiko Matsuda"
"http://dbpedia.org/resource/Emi_Nitta","Emi Nitta"
"http://dbpedia.org/resource/Erika_Yazawa","Erika Yazawa"
"http://dbpedia.org/resource/Esther_Sandoval","Esther Sandoval"
"http://dbpedia.org/resource/Gunnar_Björnstrand","Gunnar Björnstrand"
"http://dbpedia.org/resource/Gunnar_Nielsen_(actor)","Gunnar Nielsen (actor)"
"http://dbpedia.org/resource/Hiroko_Taguchi","Hiroko Taguchi"
"http://dbpedia.org/resource/Hisako_Kyōda","Hisako Kyōda"
"http://dbpedia.org/resource/Hisako_Manda","Hisako Manda"
"http://dbpedia.org/resource/Hsiao_Ho_(actor)","Hsiao Ho (actor)"
"http://dbpedia.org/resource/Hubert_Deschamps","Hubert Deschamps"
"http://dbpedia.org/resource/Ian_Hogg_(actor)","Ian Hogg (actor)"
"http://dbpedia.org/resource/Ivana_Wong","Ivana Wong"
"http://dbpedia.org/resource/Jack_Lambert_(British_actor)","Jack Lambert (British actor)"
"http://dbpedia.org/resource/Jenaveve_Jolie","Jenaveve Jolie"
"http://dbpedia.org/resource/Jerry_Butler_(actor)","Jerry Butler (actor)"
"http://dbpedia.org/resource/Jinpachi_Nezu","Jinpachi Nezu"
"http://dbpedia.org/resource/John_Ellicott_(miller)","John Ellicott (miller)"
"http://dbpedia.org/resource/Jolin_Tsai","Jolin Tsai"
"http://dbpedia.org/resource/Kanon_Tani","Kanon Tani"
"http://dbpedia.org/resource/Kaoru_Fujino","Kaoru Fujino"
"http://dbpedia.org/resource/Kellyanne_Farquhar","Kellyanne Farquhar"
"http://dbpedia.org/resource/Kent_Tong","Kent Tong"
"http://dbpedia.org/resource/Kym_(singer)","Kym (singer)"
"http://dbpedia.org/resource/Kōtarō_Satomi","Kōtarō Satomi"
"http://dbpedia.org/resource/Lolo_Ferrari","Lolo Ferrari"
"http://dbpedia.org/resource/Lu_Yi_(actor)","Lu Yi (actor)"
"http://dbpedia.org/resource/Mari_Possa","Mari Possa"
"http://dbpedia.org/resource/Marji_Campi","Marji Campi"
"http://dbpedia.org/resource/Michael_Lucas_(director)","Michael Lucas (director)"
"http://dbpedia.org/resource/Miriam_(TV_personality)","Miriam (TV personality)"
"http://dbpedia.org/resource/Miriam_Yeung","Miriam Yeung"
"http://dbpedia.org/resource/Misa_Uehara_(actress,_born_1937)","Misa Uehara (actress, born 1937)"
"http://dbpedia.org/resource/Misa_Uehara_(actress,_born_1983)","Misa Uehara (actress, born 1983)"
"http://dbpedia.org/resource/Monique_(actress)","Monique (actress)"
"http://dbpedia.org/resource/Nanami_Sakuraba","Nanami Sakuraba"
"http://dbpedia.org/resource/Nikolai_Kinski","Nikolai Kinski"
"http://dbpedia.org/resource/Nobuko_Otowa","Nobuko Otowa"
"http://dbpedia.org/resource/Noriko_Ohara","Noriko Ohara"
"http://dbpedia.org/resource/Omi_Minami","Omi Minami"
"http://dbpedia.org/resource/Peter_Lindgren_(actor)","Peter Lindgren (actor)"
"http://dbpedia.org/resource/Peter_Tilbury","Peter Tilbury"
"http://dbpedia.org/resource/Rosemary_Dempsey","Rosemary Dempsey"
"http://dbpedia.org/resource/Roy_Emerton","Roy Emerton"
"http://dbpedia.org/resource/Runa_Akiyama","Runa Akiyama"
"http://dbpedia.org/resource/Satomi_Oka","Satomi Oka"
"http://dbpedia.org/resource/Selina_Jen","Selina Jen"
"http://dbpedia.org/resource/Shane_(actress)","Shane (actress)"
"http://dbpedia.org/resource/Shauna_Macdonald","Shauna Macdonald"
"http://dbpedia.org/resource/Shinji_Kawada","Shinji Kawada"
"http://dbpedia.org/resource/Shinji_Takeda","Shinji Takeda"
"http://dbpedia.org/resource/Sita_Chan","Sita Chan"
"http://dbpedia.org/resource/Suki_Chui","Suki Chui"
"http://dbpedia.org/resource/Tish_Ambrose","Tish Ambrose"
"http://dbpedia.org/resource/Vin_Choi","Vin Choi"
"http://dbpedia.org/resource/Yoshimi_Iwasaki","Yoshimi Iwasaki"
"http://dbpedia.org/resource/Yumiko_Fujita","Yumiko Fujita"
"http://dbpedia.org/resource/Yumiko_Hosono","Yumiko Hosono"
"http://dbpedia.org/resource/Yuriko_Hishimi","Yuriko Hishimi"
"http://dbpedia.org/resource/Yuriko_Ishida","Yuriko Ishida"
"http://dbpedia.org/resource/Yuriko_Yamaguchi_(voice_actress)","Yuriko Yamaguchi (voice actress)"
"http://dbpedia.org/resource/Zdeňka_Podkapová","Zdeňka Podkapová"
"http://dbpedia.org/resource/Zeffie_Tilbury","Zeffie Tilbury"
"http://dbpedia.org/resource/Daniel_Chatto","Daniel Chatto"
"http://dbpedia.org/resource/David_Thwaites","David Thwaites"
"http://dbpedia.org/resource/Hans-Christian_Thulin","Hans-Christian Thulin"
"http://dbpedia.org/resource/Heinz_Hopf_(actor)","Heinz Hopf (actor)"
"http://dbpedia.org/resource/Kate_Baines","Kate Baines"
"http://dbpedia.org/resource/Maureen_O'Farrell","Maureen O'Farrell"
"http://dbpedia.org/resource/Akari_Hibino","Akari Hibino"
"http://dbpedia.org/resource/Allie_Haze","Allie Haze"
"http://dbpedia.org/resource/Arata_Iura","Arata Iura"
"http://dbpedia.org/resource/Ben_Cartwright_(actor)","Ben Cartwright (actor)"
"http://dbpedia.org/resource/Brian_Trueman","Brian Trueman"
"http://dbpedia.org/resource/Brigitte_Lahaie","Brigitte Lahaie"
"http://dbpedia.org/resource/Brigitte_Lin","Brigitte Lin"
"http://dbpedia.org/resource/Bunko_Kanazawa","Bunko Kanazawa"
"http://dbpedia.org/resource/Caryn_Richman","Caryn Richman"
"http://dbpedia.org/resource/Celeste_(actress)","Celeste (actress)"
"http://dbpedia.org/resource/Charlie_Hall_(actor)","Charlie Hall (actor)"
"http://dbpedia.org/resource/Cindy_Margolis","Cindy Margolis"
"http://dbpedia.org/resource/Claude_Bertrand_(actor)","Claude Bertrand (actor)"
"http://dbpedia.org/resource/Collin_Chou","Collin Chou"
"http://dbpedia.org/resource/Cyrille_Bara","Cyrille Bara"
"http://dbpedia.org/resource/Céline_Bara","Céline Bara"
"http://dbpedia.org/resource/Eric_Masterson_(actor)","Eric Masterson (actor)"
"http://dbpedia.org/resource/Essy_Persson","Essy Persson"
"http://dbpedia.org/resource/Felix_Lok","Felix Lok"
"http://dbpedia.org/resource/Frederick_William_Matthiessen","Frederick William Matthiessen"
"http://dbpedia.org/resource/Fukumi_Kuroda","Fukumi Kuroda"
"http://dbpedia.org/resource/Gary_Bakewell","Gary Bakewell"
"http://dbpedia.org/resource/Genie_Chuo","Genie Chuo"
"http://dbpedia.org/resource/Gianna_Michaels","Gianna Michaels"
"http://dbpedia.org/resource/Gigi_Leung","Gigi Leung"
"http://dbpedia.org/resource/Guy_Newall","Guy Newall"
"http://dbpedia.org/resource/Haruna_Yabuki","Haruna Yabuki"
"http://dbpedia.org/resource/Hideo_Kanze","Hideo Kanze"
"http://dbpedia.org/resource/Hideo_Murota","Hideo Murota"
"http://dbpedia.org/resource/Isako_Washio","Isako Washio"
"http://dbpedia.org/resource/James_Deen","James Deen"
"http://dbpedia.org/resource/James_Ryan_(actor)","James Ryan (actor)"
"http://dbpedia.org/resource/Jamie_Treacher","Jamie Treacher"
"http://dbpedia.org/resource/Jay_Chou","Jay Chou"
"http://dbpedia.org/resource/Jeffrey_Perry_(British_actor)","Jeffrey Perry (British actor)"
"http://dbpedia.org/resource/Joana_Prado","Joana Prado"
"http://dbpedia.org/resource/Joanne_Peh","Joanne Peh"
"http://dbpedia.org/resource/John_Hudson_(American_actor)","John Hudson (American actor)"
"http://dbpedia.org/resource/John_Light_(actor)","John Light (actor)"
"http://dbpedia.org/resource/Jonathan_Scott_(actor)","Jonathan Scott (actor)"
"http://dbpedia.org/resource/Kathryn_Drysdale","Kathryn Drysdale"
"http://dbpedia.org/resource/Katsuo_Nakamura","Katsuo Nakamura"
"http://dbpedia.org/resource/Keiko_Takeshita","Keiko Takeshita"
"http://dbpedia.org/resource/Kōji_Takahashi","Kōji Takahashi"
"http://dbpedia.org/resource/Lay_(entertainer)","Lay (entertainer)"
"http://dbpedia.org/resource/Louisa_Moritz","Louisa Moritz"
"http://dbpedia.org/resource/Loulou_von_Brochwitz","Loulou von Brochwitz"
"http://dbpedia.org/resource/Machiko_Washio","Machiko Washio"
"http://dbpedia.org/resource/Maria_Whittaker","Maria Whittaker"
"http://dbpedia.org/resource/Michael_Culkin","Michael Culkin"
"http://dbpedia.org/resource/Michael_Hawkins_(British_actor)","Michael Hawkins (British actor)"
"http://dbpedia.org/resource/Michael_Wong_(actor)","Michael Wong (actor)"
"http://dbpedia.org/resource/Mike_Aamodt","Mike Aamodt"
"http://dbpedia.org/resource/Minoru_Chiaki","Minoru Chiaki"
"http://dbpedia.org/resource/Minoru_Shiraishi","Minoru Shiraishi"
"http://dbpedia.org/resource/Minoru_Tanaka_(actor)","Minoru Tanaka (actor)"
"http://dbpedia.org/resource/Minoru_Yada","Minoru Yada"
"http://dbpedia.org/resource/Mirei_Kuroda","Mirei Kuroda"
"http://dbpedia.org/resource/Mona_Geijer-Falkner","Mona Geijer-Falkner"
"http://dbpedia.org/resource/Nana_Natsume","Nana Natsume"
"http://dbpedia.org/resource/Natasja_Vermeer","Natasja Vermeer"
"http://dbpedia.org/resource/Nick_Patrick_(actor)","Nick Patrick (actor)"
"http://dbpedia.org/resource/Nils_Moritz","Nils Moritz"
"http://dbpedia.org/resource/Nina_Li_(actress)","Nina Li (actress)"
"http://dbpedia.org/resource/Patrick_Connor_(actor)","Patrick Connor (actor)"
"http://dbpedia.org/resource/Per_Eggers","Per Eggers"
"http://dbpedia.org/resource/Renée_Björling","Renée Björling"
"http://dbpedia.org/resource/Renée_Faure","Renée Faure"
"http://dbpedia.org/resource/Rie_Ishizuka","Rie Ishizuka"
"http://dbpedia.org/resource/Rie_Kanda","Rie Kanda"
"http://dbpedia.org/resource/Rie_Nakagawa","Rie Nakagawa"
"http://dbpedia.org/resource/Rio_Natsume","Rio Natsume"
"http://dbpedia.org/resource/Robert_Baldwin_(actor)","Robert Baldwin (actor)"
"http://dbpedia.org/resource/Robert_Hirsch_(actor)","Robert Hirsch (actor)"
"http://dbpedia.org/resource/Robert_Urquhart_(actor)","Robert Urquhart (actor)"
"http://dbpedia.org/resource/Rosamund_Kwan","Rosamund Kwan"
"http://dbpedia.org/resource/Samuel_Haus","Samuel Haus"
"http://dbpedia.org/resource/Sayaka_Kanda","Sayaka Kanda"
"http://dbpedia.org/resource/Shino_Kakinuma","Shino Kakinuma"
"http://dbpedia.org/resource/Shinsuke_Ashida","Shinsuke Ashida"
"http://dbpedia.org/resource/Shiro_Kishibe","Shiro Kishibe"
"http://dbpedia.org/resource/Simon_Cook_(actor)","Simon Cook (actor)"
"http://dbpedia.org/resource/Sir_George_White,_1st_Baronet","Sir George White, 1st Baronet"
"http://dbpedia.org/resource/Stuart_Smith_(actor)","Stuart Smith (actor)"
"http://dbpedia.org/resource/Suzy_Mandel","Suzy Mandel"
"http://dbpedia.org/resource/Thibault_Vinçon","Thibault Vinçon"
"http://dbpedia.org/resource/Tim_Hamilton_(actor)","Tim Hamilton (actor)"
"http://dbpedia.org/resource/Tomiko_Ishii","Tomiko Ishii"
"http://dbpedia.org/resource/Trinity_Loren","Trinity Loren"
"http://dbpedia.org/resource/Tsutomu_Kashiwakura","Tsutomu Kashiwakura"
"http://dbpedia.org/resource/Tsutomu_Kitagawa","Tsutomu Kitagawa"
"http://dbpedia.org/resource/Tsutomu_Yamazaki","Tsutomu Yamazaki"
"http://dbpedia.org/resource/Vaniity","Vaniity"
"http://dbpedia.org/resource/Wang_Yan_(actress)","Wang Yan (actress)"
"http://dbpedia.org/resource/Wendy_Williams_(actress)","Wendy Williams (actress)"
"http://dbpedia.org/resource/Wendy_Williams_(pornographic_actress)","Wendy Williams (pornographic actress)"
"http://dbpedia.org/resource/You_(actress)","You (actress)"
"http://dbpedia.org/resource/Yura_Hinata","Yura Hinata"
"http://dbpedia.org/resource/Yurika_Hino","Yurika Hino"
"http://dbpedia.org/resource/Yurina_Hase","Yurina Hase"
"http://dbpedia.org/resource/Édouard_Collin","Édouard Collin"
"http://dbpedia.org/resource/Angela_Browne","Angela Browne"
"http://dbpedia.org/resource/Anne_Heung","Anne Heung"
"http://dbpedia.org/resource/Arinze_Kene","Arinze Kene"
"http://dbpedia.org/resource/Brian_Weske","Brian Weske"
"http://dbpedia.org/resource/Caroline_Proust","Caroline Proust"
"http://dbpedia.org/resource/Charles_Tilson-Chowne","Charles Tilson-Chowne"
"http://dbpedia.org/resource/Charmaine_Sinclair","Charmaine Sinclair"
"http://dbpedia.org/resource/Colin_Chase","Colin Chase"
"http://dbpedia.org/resource/David_Michaels_(actor)","David Michaels (actor)"
"http://dbpedia.org/resource/Dodo_Watts","Dodo Watts"
"http://dbpedia.org/resource/Douglas_Payne","Douglas Payne"
"http://dbpedia.org/resource/Ernest_Sefton","Ernest Sefton"
"http://dbpedia.org/resource/Akira_Emoto","Akira Emoto"
"http://dbpedia.org/resource/Fiona_Chalmers","Fiona Chalmers"
"http://dbpedia.org/resource/Alex_Sanders_(actor)","Alex Sanders (actor)"
"http://dbpedia.org/resource/Gabrielle_Hamilton_(actress)","Gabrielle Hamilton (actress)"
"http://dbpedia.org/resource/Ami_Ayukawa","Ami Ayukawa"
"http://dbpedia.org/resource/Angelica_Bella","Angelica Bella"
"http://dbpedia.org/resource/Iain_Mitchell","Iain Mitchell"
"http://dbpedia.org/resource/India_Fisher","India Fisher"
"http://dbpedia.org/resource/Belinda_Hamnett","Belinda Hamnett"
"http://dbpedia.org/resource/Benny_Chan_(actor)","Benny Chan (actor)"
"http://dbpedia.org/resource/Bertil_Malmberg","Bertil Malmberg"
"http://dbpedia.org/resource/Bertil_Norström","Bertil Norström"
"http://dbpedia.org/resource/Janice_Man","Janice Man"
"http://dbpedia.org/resource/Jennifer_Rhodes","Jennifer Rhodes"
"http://dbpedia.org/resource/Jesseca_Liu","Jesseca Liu"
"http://dbpedia.org/resource/Kanako_Sakai","Kanako Sakai"
"http://dbpedia.org/resource/Katie_Downes","Katie Downes"
