"entity","label"
"http://dbpedia.org/resource/A_Modest_Proposal","A Modest Proposal"
"http://dbpedia.org/resource/A_Wizard_of_Earthsea","A Wizard of Earthsea"
"http://dbpedia.org/resource/Adventures_of_Huckleberry_Finn","Adventures of Huckleberry Finn"
"http://dbpedia.org/resource/Ain't_I_a_Woman%3F_(book)","Ain't I a Woman? (book)"
"http://dbpedia.org/resource/Animal_Farm","Animal Farm"
"http://dbpedia.org/resource/Animalia_(book)","Animalia (book)"
"http://dbpedia.org/resource/Candide","Candide"
"http://dbpedia.org/resource/Carmilla","Carmilla"
"http://dbpedia.org/resource/Cosmicomics","Cosmicomics"
"http://dbpedia.org/resource/Crash_(J._G._Ballard_novel)","Crash (J. G. Ballard novel)"
"http://dbpedia.org/resource/Darwin's_Dangerous_Idea","Darwin's Dangerous Idea"
"http://dbpedia.org/resource/Do_Androids_Dream_of_Electric_Sheep%3F","Do Androids Dream of Electric Sheep?"
"http://dbpedia.org/resource/Don_Quixote","Don Quixote"
"http://dbpedia.org/resource/Dracula","Dracula"
"http://dbpedia.org/resource/Dune_Messiah","Dune Messiah"
"http://dbpedia.org/resource/Enchiridion_of_Epictetus","Enchiridion of Epictetus"
"http://dbpedia.org/resource/Encyclopædia_Britannica","Encyclopædia Britannica"
"http://dbpedia.org/resource/Erewhon","Erewhon"
"http://dbpedia.org/resource/Farmer_Giles_of_Ham","Farmer Giles of Ham"
"http://dbpedia.org/resource/Gaudy_Night","Gaudy Night"
"http://dbpedia.org/resource/Heart_of_Darkness","Heart of Darkness"
"http://dbpedia.org/resource/I,_Robot","I, Robot"
"http://dbpedia.org/resource/Icehenge","Icehenge"
"http://dbpedia.org/resource/Ivanhoe","Ivanhoe"
"http://dbpedia.org/resource/Johnny_Got_His_Gun","Johnny Got His Gun"
"http://dbpedia.org/resource/Kalevala","Kalevala"
"http://dbpedia.org/resource/Larousse_Gastronomique","Larousse Gastronomique"
"http://dbpedia.org/resource/Manufacturing_Consent","Manufacturing Consent"
"http://dbpedia.org/resource/Mein_Kampf","Mein Kampf"
"http://dbpedia.org/resource/Mere_Christianity","Mere Christianity"
"http://dbpedia.org/resource/Moby-Dick","Moby-Dick"
"http://dbpedia.org/resource/Moonfleet","Moonfleet"
"http://dbpedia.org/resource/New_Oxford_American_Dictionary","New Oxford American Dictionary"
"http://dbpedia.org/resource/Oxford_English_Dictionary","Oxford English Dictionary"
"http://dbpedia.org/resource/Philosophical_Investigations","Philosophical Investigations"
"http://dbpedia.org/resource/Pride_and_Prejudice","Pride and Prejudice"
"http://dbpedia.org/resource/Rendezvous_with_Rama","Rendezvous with Rama"
"http://dbpedia.org/resource/Ringworld","Ringworld"
"http://dbpedia.org/resource/Rubaiyat_of_Omar_Khayyam","Rubaiyat of Omar Khayyam"
"http://dbpedia.org/resource/Sense_and_Sensibility","Sense and Sensibility"
"http://dbpedia.org/resource/Tao_Te_Ching","Tao Te Ching"
"http://dbpedia.org/resource/The_Golden_Turkey_Awards","The Golden Turkey Awards"
"http://dbpedia.org/resource/The_Holocaust_Industry","The Holocaust Industry"
"http://dbpedia.org/resource/The_Metamorphosis","The Metamorphosis"
"http://dbpedia.org/resource/The_Plague","The Plague"
"http://dbpedia.org/resource/The_Three_Stigmata_of_Palmer_Eldritch","The Three Stigmata of Palmer Eldritch"
"http://dbpedia.org/resource/The_Time_in_Between","The Time in Between"
"http://dbpedia.org/resource/The_Trial","The Trial"
"http://dbpedia.org/resource/The_World_Factbook","The World Factbook"
"http://dbpedia.org/resource/Time_Out_of_Joint","Time Out of Joint"
"http://dbpedia.org/resource/Ubik","Ubik"
"http://dbpedia.org/resource/More_Guns,_Less_Crime","More Guns, Less Crime"
"http://dbpedia.org/resource/Quotations_from_Chairman_Mao_Tse-tung","Quotations from Chairman Mao Tse-tung"
"http://dbpedia.org/resource/The_Ants","The Ants"
"http://dbpedia.org/resource/The_Victorian_Internet","The Victorian Internet"
"http://dbpedia.org/resource/The_Water-Babies,_A_Fairy_Tale_for_a_Land_Baby","The Water-Babies, A Fairy Tale for a Land Baby"
"http://dbpedia.org/resource/I,_Libertine","I, Libertine"
"http://dbpedia.org/resource/A_Man_Called_Horse_(short_story)","A Man Called Horse (short story)"
"http://dbpedia.org/resource/A_Night_of_Serious_Drinking","A Night of Serious Drinking"
"http://dbpedia.org/resource/Amadis_de_Gaula","Amadis de Gaula"
"http://dbpedia.org/resource/American_Psycho","American Psycho"
"http://dbpedia.org/resource/Busman's_Honeymoon","Busman's Honeymoon"
"http://dbpedia.org/resource/Chitty-Chitty-Bang-Bang","Chitty-Chitty-Bang-Bang"
"http://dbpedia.org/resource/Chocolat_(novel)","Chocolat (novel)"
"http://dbpedia.org/resource/Consciousness_Explained","Consciousness Explained"
"http://dbpedia.org/resource/Creatures_of_Light_and_Darkness","Creatures of Light and Darkness"
"http://dbpedia.org/resource/Damage_(Hart_novel)","Damage (Hart novel)"
"http://dbpedia.org/resource/Dangerous_Visions","Dangerous Visions"
"http://dbpedia.org/resource/Destination:_Void","Destination: Void"
"http://dbpedia.org/resource/East_of_Eden_(novel)","East of Eden (novel)"
"http://dbpedia.org/resource/Etymologiae","Etymologiae"
"http://dbpedia.org/resource/Fast_Food_Nation","Fast Food Nation"
"http://dbpedia.org/resource/Flare_(novel)","Flare (novel)"
"http://dbpedia.org/resource/Great_Expectations","Great Expectations"
"http://dbpedia.org/resource/Have_His_Carcase","Have His Carcase"
"http://dbpedia.org/resource/Heechee","Heechee"
"http://dbpedia.org/resource/Imperial_Earth","Imperial Earth"
"http://dbpedia.org/resource/Jack_of_Shadows","Jack of Shadows"
"http://dbpedia.org/resource/L'Argent","L'Argent"
"http://dbpedia.org/resource/La_Conquête_de_Plassans","La Conquête de Plassans"
"http://dbpedia.org/resource/La_Curée","La Curée"
"http://dbpedia.org/resource/Le_Ton_beau_de_Marot","Le Ton beau de Marot"
"http://dbpedia.org/resource/Light_in_August","Light in August"
"http://dbpedia.org/resource/Little_Dorrit","Little Dorrit"
"http://dbpedia.org/resource/Madame_Bovary","Madame Bovary"
"http://dbpedia.org/resource/Midnight's_Children","Midnight's Children"
"http://dbpedia.org/resource/Murder_on_the_Orient_Express","Murder on the Orient Express"
"http://dbpedia.org/resource/On_the_Beach_(novel)","On the Beach (novel)"
"http://dbpedia.org/resource/Rosemary's_Baby_(novel)","Rosemary's Baby (novel)"
"http://dbpedia.org/resource/Shame_(Rushdie_novel)","Shame (Rushdie novel)"
"http://dbpedia.org/resource/Shulchan_Aruch","Shulchan Aruch"
"http://dbpedia.org/resource/Son_Excellence_Eugène_Rougon","Son Excellence Eugène Rougon"
"http://dbpedia.org/resource/Strong_Poison","Strong Poison"
"http://dbpedia.org/resource/The_Boys_from_Brazil_(novel)","The Boys from Brazil (novel)"
"http://dbpedia.org/resource/The_Children_of_Men","The Children of Men"
"http://dbpedia.org/resource/The_City_of_the_Sun","The City of the Sun"
"http://dbpedia.org/resource/The_Devil_and_Daniel_Webster","The Devil and Daniel Webster"
"http://dbpedia.org/resource/The_Dosadi_Experiment","The Dosadi Experiment"
"http://dbpedia.org/resource/The_Ego_and_Its_Own","The Ego and Its Own"
"http://dbpedia.org/resource/The_End_of_Eternity","The End of Eternity"
"http://dbpedia.org/resource/The_Farther_Adventures_of_Robinson_Crusoe","The Farther Adventures of Robinson Crusoe"
"http://dbpedia.org/resource/The_Five_Red_Herrings","The Five Red Herrings"
"http://dbpedia.org/resource/The_Fixer_(novel)","The Fixer (novel)"
"http://dbpedia.org/resource/The_Fortune_of_the_Rougons","The Fortune of the Rougons"
"http://dbpedia.org/resource/The_Ghost_Road","The Ghost Road"
"http://dbpedia.org/resource/The_Logic_of_Scientific_Discovery","The Logic of Scientific Discovery"
"http://dbpedia.org/resource/The_Nine_Tailors","The Nine Tailors"
"http://dbpedia.org/resource/The_Poisoned_Chocolates_Case","The Poisoned Chocolates Case"
"http://dbpedia.org/resource/The_Railway_Children","The Railway Children"
"http://dbpedia.org/resource/The_Red_House_Mystery","The Red House Mystery"
"http://dbpedia.org/resource/The_Road_to_Wigan_Pier","The Road to Wigan Pier"
"http://dbpedia.org/resource/The_Tale_of_Genji","The Tale of Genji"
"http://dbpedia.org/resource/The_Tale_of_the_Body_Thief","The Tale of the Body Thief"
"http://dbpedia.org/resource/The_Vampire_Lestat","The Vampire Lestat"
"http://dbpedia.org/resource/The_Wiki_Way","The Wiki Way"
"http://dbpedia.org/resource/This_Perfect_Day","This Perfect Day"
"http://dbpedia.org/resource/Thrones,_Dominations","Thrones, Dominations"
"http://dbpedia.org/resource/Unnatural_Death","Unnatural Death"
"http://dbpedia.org/resource/Vurt","Vurt"
"http://dbpedia.org/resource/War_and_Peace","War and Peace"
"http://dbpedia.org/resource/When_God_Was_a_Woman","When God Was a Woman"
"http://dbpedia.org/resource/Where_Angels_Fear_to_Tread","Where Angels Fear to Tread"
"http://dbpedia.org/resource/Whipping_Star","Whipping Star"
"http://dbpedia.org/resource/Whose_Body%3F","Whose Body?"
"http://dbpedia.org/resource/Angus,_Thongs_and_Full-Frontal_Snogging","Angus, Thongs and Full-Frontal Snogging"
"http://dbpedia.org/resource/Balance_of_Power_(Star_Trek)","Balance of Power (Star Trek)"
"http://dbpedia.org/resource/Bel_Ami","Bel Ami"
"http://dbpedia.org/resource/Better_Than_Life","Better Than Life"
"http://dbpedia.org/resource/Correction_(novel)","Correction (novel)"
"http://dbpedia.org/resource/Death_on_the_Nile","Death on the Nile"
"http://dbpedia.org/resource/Fearless_(Lott_novel)","Fearless (Lott novel)"
"http://dbpedia.org/resource/Female_(novel)","Female (novel)"
"http://dbpedia.org/resource/Fireworks:_Nine_Profane_Pieces","Fireworks: Nine Profane Pieces"
"http://dbpedia.org/resource/Homeward_Bound_(Turtledove_novel)","Homeward Bound (Turtledove novel)"
"http://dbpedia.org/resource/Hothouse_(novel)","Hothouse (novel)"
"http://dbpedia.org/resource/Hothouses","Hothouses"
"http://dbpedia.org/resource/In_Our_Time_(Wolfe_book)","In Our Time (Wolfe book)"
"http://dbpedia.org/resource/Legs_(novel)","Legs (novel)"
"http://dbpedia.org/resource/Lucy_(novel)","Lucy (novel)"
"http://dbpedia.org/resource/Moloch:_or,_This_Gentile_World","Moloch: or, This Gentile World"
"http://dbpedia.org/resource/Mumbo_Jumbo_(novel)","Mumbo Jumbo (novel)"
"http://dbpedia.org/resource/Perfect_Match_(novel)","Perfect Match (novel)"
"http://dbpedia.org/resource/Pornografia","Pornografia"
"http://dbpedia.org/resource/Pornography:_Men_Possessing_Women","Pornography: Men Possessing Women"
"http://dbpedia.org/resource/Redshirts_(novel)","Redshirts (novel)"
"http://dbpedia.org/resource/Remembering_the_Kanji_and_Remembering_the_Hanzi","Remembering the Kanji and Remembering the Hanzi"
"http://dbpedia.org/resource/Stairway_to_Heaven:_Led_Zeppelin_Uncensored","Stairway to Heaven: Led Zeppelin Uncensored"
"http://dbpedia.org/resource/Survival!","Survival!"
"http://dbpedia.org/resource/System_Shock_(novel)","System Shock (novel)"
"http://dbpedia.org/resource/Tempus_(novel)","Tempus (novel)"
"http://dbpedia.org/resource/The_Castle_of_Argol","The Castle of Argol"
"http://dbpedia.org/resource/The_Dark_Forest","The Dark Forest"
"http://dbpedia.org/resource/The_Fort_(novel)","The Fort (novel)"
"http://dbpedia.org/resource/The_Gargoyle_(novel)","The Gargoyle (novel)"
"http://dbpedia.org/resource/The_Gathering_Storm_(novel)","The Gathering Storm (novel)"
"http://dbpedia.org/resource/The_Oregon_Experiment","The Oregon Experiment"
"http://dbpedia.org/resource/The_Persistence_of_Vision_(collection)","The Persistence of Vision (collection)"
"http://dbpedia.org/resource/The_Proposal_(Animorphs)","The Proposal (Animorphs)"
"http://dbpedia.org/resource/The_Reverse_of_the_Medal","The Reverse of the Medal"
"http://dbpedia.org/resource/The_Shock_Doctrine","The Shock Doctrine"
"http://dbpedia.org/resource/The_Zahir_(novel)","The Zahir (novel)"
"http://dbpedia.org/resource/ATLA_–_A_Story_of_the_Lost_Island","ATLA – A Story of the Lost Island"
"http://dbpedia.org/resource/A_Family_Affair_(novel)","A Family Affair (novel)"
"http://dbpedia.org/resource/A_Ghost_in_the_Machine","A Ghost in the Machine"
"http://dbpedia.org/resource/A_Time_to_Die_(Smith_novel)","A Time to Die (Smith novel)"
"http://dbpedia.org/resource/A_World_Apart_(book)","A World Apart (book)"
"http://dbpedia.org/resource/Abundance:_The_Future_Is_Better_Than_You_Think","Abundance: The Future Is Better Than You Think"
"http://dbpedia.org/resource/Alex_Ferguson:_My_Autobiography","Alex Ferguson: My Autobiography"
"http://dbpedia.org/resource/All_I_Need_Is_Love","All I Need Is Love"
"http://dbpedia.org/resource/An_Experiment_with_Time","An Experiment with Time"
"http://dbpedia.org/resource/Angel_Eyes_(novel)","Angel Eyes (novel)"
"http://dbpedia.org/resource/Annihilation_(Forgotten_Realms_novel)","Annihilation (Forgotten Realms novel)"
"http://dbpedia.org/resource/Annihilation_(VanderMeer_novel)","Annihilation (VanderMeer novel)"
"http://dbpedia.org/resource/Aramis,_or_the_Love_of_Technology","Aramis, or the Love of Technology"
"http://dbpedia.org/resource/Are_You_Afraid_of_the_Dark%3F_(novel)","Are You Afraid of the Dark? (novel)"
"http://dbpedia.org/resource/Area_51:_An_Uncensored_History_of_America's_Top_Secret_Military_Base","Area 51: An Uncensored History of America's Top Secret Military Base"
"http://dbpedia.org/resource/Armageddon_(novel)","Armageddon (novel)"
"http://dbpedia.org/resource/Augustus_(Massie_novel)","Augustus (Massie novel)"
"http://dbpedia.org/resource/Augustus_(Williams_novel)","Augustus (Williams novel)"
"http://dbpedia.org/resource/Bad_Boy_(novel)","Bad Boy (novel)"
"http://dbpedia.org/resource/Before_Green_Gables","Before Green Gables"
"http://dbpedia.org/resource/Behind_Enemy_Lines_(book)","Behind Enemy Lines (book)"
"http://dbpedia.org/resource/Beyond_Belief:_Islamic_Excursions_among_the_Converted_Peoples","Beyond Belief: Islamic Excursions among the Converted Peoples"
"http://dbpedia.org/resource/Black_Orchids","Black Orchids"
"http://dbpedia.org/resource/Bless_Me,_Ultima","Bless Me, Ultima"
"http://dbpedia.org/resource/Blue_Moon_(Hamilton_novel)","Blue Moon (Hamilton novel)"
"http://dbpedia.org/resource/Blue_Moon_(Noël_novel)","Blue Moon (Noël novel)"
"http://dbpedia.org/resource/Bomba,_the_Jungle_Boy","Bomba, the Jungle Boy"
"http://dbpedia.org/resource/Bonk:_The_Curious_Coupling_of_Science_and_Sex","Bonk: The Curious Coupling of Science and Sex"
"http://dbpedia.org/resource/Borderlands/La_Frontera:_The_New_Mestiza","Borderlands/La Frontera: The New Mestiza"
"http://dbpedia.org/resource/Britannia_(Scarrow_novel)","Britannia (Scarrow novel)"
"http://dbpedia.org/resource/C_(novel)","C (novel)"
"http://dbpedia.org/resource/Cabal_(novella)","Cabal (novella)"
"http://dbpedia.org/resource/Candy:_A_Novel_of_Love_and_Addiction","Candy: A Novel of Love and Addiction"
"http://dbpedia.org/resource/Candy_(Southern_and_Hoffenberg_novel)","Candy (Southern and Hoffenberg novel)"
"http://dbpedia.org/resource/Carmen_(novella)","Carmen (novella)"
