"entity","label"
"http://dbpedia.org/resource/Kansas_City,_Missouri","Kansas City, Missouri"
"http://dbpedia.org/resource/Aberdeen,_South_Dakota","Aberdeen, South Dakota"
"http://dbpedia.org/resource/Albion,_Michigan","Albion, Michigan"
"http://dbpedia.org/resource/Alexandria,_Indiana","Alexandria, Indiana"
"http://dbpedia.org/resource/Alexandria,_Louisiana","Alexandria, Louisiana"
"http://dbpedia.org/resource/Algiers","Algiers"
"http://dbpedia.org/resource/Ames,_Iowa","Ames, Iowa"
"http://dbpedia.org/resource/Andersonville,_Georgia","Andersonville, Georgia"
"http://dbpedia.org/resource/Ann_Arbor,_Michigan","Ann Arbor, Michigan"
"http://dbpedia.org/resource/Astoria,_Oregon","Astoria, Oregon"
"http://dbpedia.org/resource/Atlanta","Atlanta"
"http://dbpedia.org/resource/Austin,_Texas","Austin, Texas"
"http://dbpedia.org/resource/Berkeley,_California","Berkeley, California"
"http://dbpedia.org/resource/Buffalo,_New_York","Buffalo, New York"
"http://dbpedia.org/resource/Cadillac,_Michigan","Cadillac, Michigan"
"http://dbpedia.org/resource/Cambridge,_Massachusetts","Cambridge, Massachusetts"
"http://dbpedia.org/resource/Cedar_Falls,_Iowa","Cedar Falls, Iowa"
"http://dbpedia.org/resource/Chernobyl","Chernobyl"
"http://dbpedia.org/resource/Chicago","Chicago"
"http://dbpedia.org/resource/City_of_London","City of London"
"http://dbpedia.org/resource/Cleveland","Cleveland"
"http://dbpedia.org/resource/Columbia,_Missouri","Columbia, Missouri"
"http://dbpedia.org/resource/Columbus,_Indiana","Columbus, Indiana"
"http://dbpedia.org/resource/Columbus,_Ohio","Columbus, Ohio"
"http://dbpedia.org/resource/Concord,_New_Hampshire","Concord, New Hampshire"
"http://dbpedia.org/resource/Darwin,_Northern_Territory","Darwin, Northern Territory"
"http://dbpedia.org/resource/Davenport,_Iowa","Davenport, Iowa"
"http://dbpedia.org/resource/Davis,_California","Davis, California"
"http://dbpedia.org/resource/Dayton,_Ohio","Dayton, Ohio"
"http://dbpedia.org/resource/Des_Moines,_Iowa","Des Moines, Iowa"
"http://dbpedia.org/resource/Detroit","Detroit"
"http://dbpedia.org/resource/Ellensburg,_Washington","Ellensburg, Washington"
"http://dbpedia.org/resource/Eugene,_Oregon","Eugene, Oregon"
"http://dbpedia.org/resource/Eureka,_Missouri","Eureka, Missouri"
"http://dbpedia.org/resource/Fort_Wayne,_Indiana","Fort Wayne, Indiana"
"http://dbpedia.org/resource/Gary,_Indiana","Gary, Indiana"
"http://dbpedia.org/resource/Goshen,_Indiana","Goshen, Indiana"
"http://dbpedia.org/resource/Guatemala_City","Guatemala City"
"http://dbpedia.org/resource/Guernica","Guernica"
"http://dbpedia.org/resource/Herat","Herat"
"http://dbpedia.org/resource/Hobart","Hobart"
"http://dbpedia.org/resource/Houston","Houston"
"http://dbpedia.org/resource/Ithaca,_New_York","Ithaca, New York"
"http://dbpedia.org/resource/Lansing,_Michigan","Lansing, Michigan"
"http://dbpedia.org/resource/Lincoln,_Nebraska","Lincoln, Nebraska"
"http://dbpedia.org/resource/Liverpool","Liverpool"
"http://dbpedia.org/resource/Los_Altos,_California","Los Altos, California"
"http://dbpedia.org/resource/Marrakesh","Marrakesh"
"http://dbpedia.org/resource/Nashville,_Tennessee","Nashville, Tennessee"
"http://dbpedia.org/resource/Paris,_Texas","Paris, Texas"
"http://dbpedia.org/resource/Pittsburgh","Pittsburgh"
"http://dbpedia.org/resource/Portland,_Oregon","Portland, Oregon"
"http://dbpedia.org/resource/Portsmouth","Portsmouth"
"http://dbpedia.org/resource/Redmond,_Washington","Redmond, Washington"
"http://dbpedia.org/resource/Reno,_Nevada","Reno, Nevada"
"http://dbpedia.org/resource/Roswell,_New_Mexico","Roswell, New Mexico"
"http://dbpedia.org/resource/Santa_Monica,_California","Santa Monica, California"
"http://dbpedia.org/resource/St._Louis","St. Louis"
"http://dbpedia.org/resource/Syracuse,_New_York","Syracuse, New York"
"http://dbpedia.org/resource/Daphne,_Alabama","Daphne, Alabama"
"http://dbpedia.org/resource/Fairhope,_Alabama","Fairhope, Alabama"
"http://dbpedia.org/resource/Foley,_Alabama","Foley, Alabama"
"http://dbpedia.org/resource/Gulf_Shores,_Alabama","Gulf Shores, Alabama"
"http://dbpedia.org/resource/Orange_Beach,_Alabama","Orange Beach, Alabama"
"http://dbpedia.org/resource/Robertsdale,_Alabama","Robertsdale, Alabama"
"http://dbpedia.org/resource/Sighișoara","Sighișoara"
"http://dbpedia.org/resource/Spanish_Fort,_Alabama","Spanish Fort, Alabama"
"http://dbpedia.org/resource/Abilene,_Texas","Abilene, Texas"
"http://dbpedia.org/resource/Amarillo,_Texas","Amarillo, Texas"
"http://dbpedia.org/resource/Azle,_Texas","Azle, Texas"
"http://dbpedia.org/resource/Corpus_Christi,_Texas","Corpus Christi, Texas"
"http://dbpedia.org/resource/Draper,_Utah","Draper, Utah"
"http://dbpedia.org/resource/Park_City,_Utah","Park City, Utah"
"http://dbpedia.org/resource/Round_Rock,_Texas","Round Rock, Texas"
"http://dbpedia.org/resource/Allardt,_Tennessee","Allardt, Tennessee"
"http://dbpedia.org/resource/Anacortes,_Washington","Anacortes, Washington"
"http://dbpedia.org/resource/Baldwyn,_Mississippi","Baldwyn, Mississippi"
"http://dbpedia.org/resource/Blaine,_Washington","Blaine, Washington"
"http://dbpedia.org/resource/Bluffdale,_Utah","Bluffdale, Utah"
"http://dbpedia.org/resource/Bountiful,_Utah","Bountiful, Utah"
"http://dbpedia.org/resource/Bremerton,_Washington","Bremerton, Washington"
"http://dbpedia.org/resource/Camas,_Washington","Camas, Washington"
"http://dbpedia.org/resource/Castle_Dale,_Utah","Castle Dale, Utah"
"http://dbpedia.org/resource/Cedar_Hills,_Utah","Cedar Hills, Utah"
"http://dbpedia.org/resource/Centerfield,_Utah","Centerfield, Utah"
"http://dbpedia.org/resource/Chesnee,_South_Carolina","Chesnee, South Carolina"
"http://dbpedia.org/resource/Chippewa_Falls,_Wisconsin","Chippewa Falls, Wisconsin"
"http://dbpedia.org/resource/Cibolo,_Texas","Cibolo, Texas"
"http://dbpedia.org/resource/Clinton,_Utah","Clinton, Utah"
"http://dbpedia.org/resource/Clintonville,_Wisconsin","Clintonville, Wisconsin"
"http://dbpedia.org/resource/Coalville,_Utah","Coalville, Utah"
"http://dbpedia.org/resource/Copperas_Cove,_Texas","Copperas Cove, Texas"
"http://dbpedia.org/resource/Corbin,_Kentucky","Corbin, Kentucky"
"http://dbpedia.org/resource/East_Lansing,_Michigan","East Lansing, Michigan"
"http://dbpedia.org/resource/Eddyville,_Iowa","Eddyville, Iowa"
"http://dbpedia.org/resource/Edmonds,_Washington","Edmonds, Washington"
"http://dbpedia.org/resource/Enoch,_Utah","Enoch, Utah"
"http://dbpedia.org/resource/Escalante,_Utah","Escalante, Utah"
"http://dbpedia.org/resource/Farr_West,_Utah","Farr West, Utah"
