"entity","label"
"http://dbpedia.org/resource/Airbus_Helicopters","Airbus Helicopters"
"http://dbpedia.org/resource/Daimler_AG","Daimler AG"
"http://dbpedia.org/resource/Dassault_Aviation","Dassault Aviation"
"http://dbpedia.org/resource/Maxwell_Technologies","Maxwell Technologies"
"http://dbpedia.org/resource/Robert_Bosch_GmbH","Robert Bosch GmbH"
"http://dbpedia.org/resource/AOL","AOL"
"http://dbpedia.org/resource/ARY_Group","ARY Group"
"http://dbpedia.org/resource/Adobe_Systems","Adobe Systems"
"http://dbpedia.org/resource/Advanced_Micro_Devices","Advanced Micro Devices"
"http://dbpedia.org/resource/American_Airlines","American Airlines"
"http://dbpedia.org/resource/American_Media_(publisher)","American Media (publisher)"
"http://dbpedia.org/resource/Amway","Amway"
"http://dbpedia.org/resource/Aon_(company)","Aon (company)"
"http://dbpedia.org/resource/Apple_Inc.","Apple Inc."
"http://dbpedia.org/resource/Arianespace","Arianespace"
"http://dbpedia.org/resource/Aston_Martin","Aston Martin"
"http://dbpedia.org/resource/Audi","Audi"
"http://dbpedia.org/resource/AvtoVAZ","AvtoVAZ"
"http://dbpedia.org/resource/BMW","BMW"
"http://dbpedia.org/resource/BT_Group","BT Group"
"http://dbpedia.org/resource/Bacardi","Bacardi"
"http://dbpedia.org/resource/Beechcraft","Beechcraft"
"http://dbpedia.org/resource/Bell_Labs","Bell Labs"
"http://dbpedia.org/resource/Bentley","Bentley"
"http://dbpedia.org/resource/Birmingham_Small_Arms_Company","Birmingham Small Arms Company"
"http://dbpedia.org/resource/Blizzard_Entertainment","Blizzard Entertainment"
"http://dbpedia.org/resource/Bombardier_Inc.","Bombardier Inc."
"http://dbpedia.org/resource/Borland","Borland"
"http://dbpedia.org/resource/British_Airways","British Airways"
"http://dbpedia.org/resource/British_Rail","British Rail"
"http://dbpedia.org/resource/British_Steel","British Steel"
"http://dbpedia.org/resource/Bugatti","Bugatti"
"http://dbpedia.org/resource/Burroughs_Corporation","Burroughs Corporation"
"http://dbpedia.org/resource/Cantor_Fitzgerald","Cantor Fitzgerald"
"http://dbpedia.org/resource/Capcom","Capcom"
"http://dbpedia.org/resource/Ceres_Brewery","Ceres Brewery"
"http://dbpedia.org/resource/Cessna","Cessna"
"http://dbpedia.org/resource/Chaosium","Chaosium"
"http://dbpedia.org/resource/Chrysler","Chrysler"
"http://dbpedia.org/resource/Coleco","Coleco"
"http://dbpedia.org/resource/Commodore_International","Commodore International"
"http://dbpedia.org/resource/Compaq","Compaq"
"http://dbpedia.org/resource/DC_Comics","DC Comics"
"http://dbpedia.org/resource/DKW","DKW"
"http://dbpedia.org/resource/Dartmoor_Preservation_Association","Dartmoor Preservation Association"
"http://dbpedia.org/resource/Datsun","Datsun"
"http://dbpedia.org/resource/Digital_Equipment_Corporation","Digital Equipment Corporation"
"http://dbpedia.org/resource/Ducati","Ducati"
"http://dbpedia.org/resource/Dutch_West_India_Company","Dutch West India Company"
"http://dbpedia.org/resource/Enron","Enron"
"http://dbpedia.org/resource/Ericsson","Ericsson"
"http://dbpedia.org/resource/FASA","FASA"
"http://dbpedia.org/resource/Ferrari","Ferrari"
"http://dbpedia.org/resource/First_National_Pictures","First National Pictures"
"http://dbpedia.org/resource/Fox_Film","Fox Film"
"http://dbpedia.org/resource/GTE","GTE"
"http://dbpedia.org/resource/General_Electric","General Electric"
"http://dbpedia.org/resource/General_Motors","General Motors"
"http://dbpedia.org/resource/Harley-Davidson","Harley-Davidson"
"http://dbpedia.org/resource/Harthouse","Harthouse"
"http://dbpedia.org/resource/Hearst_Corporation","Hearst Corporation"
"http://dbpedia.org/resource/Heckler_&_Koch","Heckler & Koch"
"http://dbpedia.org/resource/Heinz","Heinz"
"http://dbpedia.org/resource/Hewlett_Packard_Enterprise_Services","Hewlett Packard Enterprise Services"
"http://dbpedia.org/resource/Holden","Holden"
"http://dbpedia.org/resource/Honda","Honda"
"http://dbpedia.org/resource/Hudson's_Bay_Company","Hudson's Bay Company"
"http://dbpedia.org/resource/Hummer","Hummer"
"http://dbpedia.org/resource/IKEA","IKEA"
"http://dbpedia.org/resource/Ibanez","Ibanez"
"http://dbpedia.org/resource/Id_Software","Id Software"
"http://dbpedia.org/resource/Imperial_Airways","Imperial Airways"
"http://dbpedia.org/resource/Imperial_Chemical_Industries","Imperial Chemical Industries"
"http://dbpedia.org/resource/Infocom","Infocom"
"http://dbpedia.org/resource/Intel","Intel"
"http://dbpedia.org/resource/Intelsat","Intelsat"
