"entity","label"
"http://dbpedia.org/resource/Akkadian_Empire","Akkadian Empire"
"http://dbpedia.org/resource/Almoravid_dynasty","Almoravid dynasty"
"http://dbpedia.org/resource/Ammon","Ammon"
"http://dbpedia.org/resource/Antigonid_dynasty","Antigonid dynasty"
"http://dbpedia.org/resource/Archbishopric_of_Riga","Archbishopric of Riga"
"http://dbpedia.org/resource/Assyria","Assyria"
"http://dbpedia.org/resource/Austria-Hungary","Austria-Hungary"
"http://dbpedia.org/resource/Bassas_da_India","Bassas da India"
"http://dbpedia.org/resource/Bishopric_of_Brandenburg","Bishopric of Brandenburg"
"http://dbpedia.org/resource/British_Empire","British Empire"
"http://dbpedia.org/resource/Central_Powers","Central Powers"
"http://dbpedia.org/resource/Cocos_(Keeling)_Islands","Cocos (Keeling) Islands"
"http://dbpedia.org/resource/Commonwealth_of_England","Commonwealth of England"
"http://dbpedia.org/resource/Confederate_States_of_America","Confederate States of America"
"http://dbpedia.org/resource/Czechoslovakia","Czechoslovakia"
"http://dbpedia.org/resource/Dahomey","Dahomey"
"http://dbpedia.org/resource/Dejima","Dejima"
"http://dbpedia.org/resource/Durrani_Empire","Durrani Empire"
"http://dbpedia.org/resource/East_Germany","East Germany"
"http://dbpedia.org/resource/East_Pakistan","East Pakistan"
"http://dbpedia.org/resource/Europa_Island","Europa Island"
"http://dbpedia.org/resource/European_Coal_and_Steel_Community","European Coal and Steel Community"
"http://dbpedia.org/resource/European_Economic_Community","European Economic Community"
"http://dbpedia.org/resource/French_Southern_and_Antarctic_Lands","French Southern and Antarctic Lands"
"http://dbpedia.org/resource/Geography_of_Saint_Pierre_and_Miquelon","Geography of Saint Pierre and Miquelon"
"http://dbpedia.org/resource/German_Empire","German Empire"
"http://dbpedia.org/resource/Glorioso_Islands","Glorioso Islands"
"http://dbpedia.org/resource/Hanseatic_League","Hanseatic League"
"http://dbpedia.org/resource/History_of_Nauru","History of Nauru"
"http://dbpedia.org/resource/Hittites","Hittites"
"http://dbpedia.org/resource/Holy_Roman_Empire","Holy Roman Empire"
"http://dbpedia.org/resource/Huns","Huns"
"http://dbpedia.org/resource/Inca_Empire","Inca Empire"
"http://dbpedia.org/resource/International_Criminal_Court","International Criminal Court"
"http://dbpedia.org/resource/Juan_de_Nova_Island","Juan de Nova Island"
"http://dbpedia.org/resource/Kalmar_Union","Kalmar Union"
"http://dbpedia.org/resource/Kerguelen_Islands","Kerguelen Islands"
"http://dbpedia.org/resource/Khazars","Khazars"
"http://dbpedia.org/resource/Kingdom_of_Essex","Kingdom of Essex"
"http://dbpedia.org/resource/Kingdom_of_Israel_(Samaria)","Kingdom of Israel (Samaria)"
"http://dbpedia.org/resource/Kingdom_of_Jerusalem","Kingdom of Jerusalem"
