"entity","label"
"http://dbpedia.org/resource/Actrius","Actrius"
"http://dbpedia.org/resource/Army_of_Darkness","Army of Darkness"
"http://dbpedia.org/resource/Barry_Lyndon","Barry Lyndon"
"http://dbpedia.org/resource/Batman_&_Robin_(film)","Batman & Robin (film)"
"http://dbpedia.org/resource/Batman_(1966_film)","Batman (1966 film)"
"http://dbpedia.org/resource/Batman_(1989_film)","Batman (1989 film)"
"http://dbpedia.org/resource/Batman_Forever","Batman Forever"
"http://dbpedia.org/resource/Batman_Returns","Batman Returns"
"http://dbpedia.org/resource/Blade_Runner","Blade Runner"
"http://dbpedia.org/resource/Blazing_Saddles","Blazing Saddles"
"http://dbpedia.org/resource/Blue_Velvet_(film)","Blue Velvet (film)"
"http://dbpedia.org/resource/Braveheart","Braveheart"
"http://dbpedia.org/resource/Bride_of_the_Monster","Bride of the Monster"
"http://dbpedia.org/resource/Buffy_the_Vampire_Slayer_(film)","Buffy the Vampire Slayer (film)"
"http://dbpedia.org/resource/Chariots_of_Fire","Chariots of Fire"
"http://dbpedia.org/resource/Citizen_Kane","Citizen Kane"
"http://dbpedia.org/resource/Crouching_Tiger,_Hidden_Dragon","Crouching Tiger, Hidden Dragon"
"http://dbpedia.org/resource/Das_Boot","Das Boot"
"http://dbpedia.org/resource/Destroy_All_Monsters","Destroy All Monsters"
"http://dbpedia.org/resource/Destry_Rides_Again","Destry Rides Again"
"http://dbpedia.org/resource/Dr._Strangelove","Dr. Strangelove"
"http://dbpedia.org/resource/Dressed_to_Kill_(1980_film)","Dressed to Kill (1980 film)"
"http://dbpedia.org/resource/Enter_the_Dragon","Enter the Dragon"
"http://dbpedia.org/resource/Escape_from_New_York","Escape from New York"
"http://dbpedia.org/resource/Evil_Dead_II","Evil Dead II"
"http://dbpedia.org/resource/Eyes_Wide_Shut","Eyes Wide Shut"
"http://dbpedia.org/resource/Fearless_(1993_film)","Fearless (1993 film)"
"http://dbpedia.org/resource/Final_Fantasy:_The_Spirits_Within","Final Fantasy: The Spirits Within"
"http://dbpedia.org/resource/Four_Weddings_and_a_Funeral","Four Weddings and a Funeral"
"http://dbpedia.org/resource/Full_Metal_Jacket","Full Metal Jacket"
"http://dbpedia.org/resource/Galaxy_Quest","Galaxy Quest"
"http://dbpedia.org/resource/Glen_or_Glenda","Glen or Glenda"
"http://dbpedia.org/resource/Godzilla_(1954_film)","Godzilla (1954 film)"
"http://dbpedia.org/resource/Godzilla_vs._Biollante","Godzilla vs. Biollante"
"http://dbpedia.org/resource/Godzilla_vs._King_Ghidorah","Godzilla vs. King Ghidorah"
"http://dbpedia.org/resource/Godzilla_vs._Megalon","Godzilla vs. Megalon"
"http://dbpedia.org/resource/Godzilla_vs._Mothra","Godzilla vs. Mothra"
