entity,label
http://dbpedia.org/resource/Aa_(architect),Aa (architect)
"http://dbpedia.org/resource/Abel,_King_of_Denmark","Abel, King of Denmark"
http://dbpedia.org/resource/Abel_Ferreira,Abel Ferreira
http://dbpedia.org/resource/Abel_GÃ_mez_Moreno,Abel GÃ_mez Moreno
http://dbpedia.org/resource/Abel_Miglietti,Abel Miglietti
http://dbpedia.org/resource/Achille_Casanova,Achille Casanova
http://dbpedia.org/resource/Adolf_Holzhaus,Adolf Holzhaus
http://dbpedia.org/resource/Adonis_(musician),Adonis (musician)
http://dbpedia.org/resource/AgustÃ_n_de_Iturbide_y_Green,AgustÃ_n de Iturbide y Green
http://dbpedia.org/resource/Ainslie_Roberts,Ainslie Roberts
http://dbpedia.org/resource/Akhenaton_(rapper),Akhenaton (rapper)
http://dbpedia.org/resource/Alaina_Johnson,Alaina Johnson
http://dbpedia.org/resource/Alastair_Martin,Alastair Martin
"http://dbpedia.org/resource/Albert,_12th_Prince_of_Thurn_and_Taxis","Albert, 12th Prince of Thurn and Taxis"
"http://dbpedia.org/resource/Albert,_8th_Prince_of_Thurn_and_Taxis","Albert, 8th Prince of Thurn and Taxis"
"http://dbpedia.org/resource/Albert,_Duke_of_Schleswig-Holstein","Albert, Duke of Schleswig-Holstein"
"http://dbpedia.org/resource/Albert,_King_of_Sweden","Albert, King of Sweden"
"http://dbpedia.org/resource/Albert,_Prince_of_Schwarzburg-Rudolstadt","Albert, Prince of Schwarzburg-Rudolstadt"
"http://dbpedia.org/resource/Albert_Casimir,_Duke_of_Teschen","Albert Casimir, Duke of Teschen"
"http://dbpedia.org/resource/Albert_Hall_(footballer,_born_1918)","Albert Hall (footballer, born 1918)"
http://dbpedia.org/resource/Albert_N._Whiting,Albert N. Whiting
"http://dbpedia.org/resource/Albert_VII,_Archduke_of_Austria","Albert VII, Archduke of Austria"
http://dbpedia.org/resource/Albert_of_Saxony,Albert of Saxony
http://dbpedia.org/resource/Anders_FranzÃ©n,Anders FranzÃ©n
http://dbpedia.org/resource/Andy_Collins_(artist),Andy Collins (artist)
http://dbpedia.org/resource/Angeli_(cartoonist),Angeli (cartoonist)
http://dbpedia.org/resource/Annie_Lee_Moss,Annie Lee Moss
http://dbpedia.org/resource/Anthony_da_Silva,Anthony da Silva
"http://dbpedia.org/resource/Antonio_Farnese,_Duke_of_Parma","Antonio Farnese, Duke of Parma"
http://dbpedia.org/resource/Antonio_Thomas_(wrestler),Antonio Thomas (wrestler)
http://dbpedia.org/resource/Antonius_Ariantho,Antonius Ariantho
http://dbpedia.org/resource/AntÃ´nio_Wilson_Vieira_HonÃ_rio,AntÃ´nio Wilson Vieira HonÃ_rio
http://dbpedia.org/resource/AntÃ´nio_de_Moura_Carvalho,AntÃ´nio de Moura Carvalho
http://dbpedia.org/resource/Archduchess_Maria_Magdalena_of_Austria_(1689â€“1743),Archduchess Maria Magdalena of Austria (1689â€“1743)
http://dbpedia.org/resource/Ariadne_(empress),Ariadne (empress)
http://dbpedia.org/resource/Art_Smith_(chef),Art Smith (chef)
http://dbpedia.org/resource/Arthur_P._Jacobs,Arthur P. Jacobs
http://dbpedia.org/resource/Arthur_Roberts_(physicist),Arthur Roberts (physicist)
http://dbpedia.org/resource/Arthur_W._Murray,Arthur W. Murray
http://dbpedia.org/resource/Aspekt,Aspekt
http://dbpedia.org/resource/Asser,Asser
http://dbpedia.org/resource/Atlantis_(wrestler),Atlantis (wrestler)
http://dbpedia.org/resource/Augustine_Ahinful,Augustine Ahinful
http://dbpedia.org/resource/Augustine_of_Canterbury,Augustine of Canterbury
http://dbpedia.org/resource/Aziz_(artist),Aziz (artist)
http://dbpedia.org/resource/B.G._(rapper),B.G. (rapper)
http://dbpedia.org/resource/Beck,Beck
http://dbpedia.org/resource/Benjamin_Smoke,Benjamin Smoke
http://dbpedia.org/resource/Bernard_of_Italy,Bernard of Italy
http://dbpedia.org/resource/Bernard_of_Kilwinning,Bernard of Kilwinning
http://dbpedia.org/resource/Bernard_of_Saxe-Weimar,Bernard of Saxe-Weimar
http://dbpedia.org/resource/Bernardo_DomÃ_nguez,Bernardo DomÃ_nguez
http://dbpedia.org/resource/Bernardo_Fernandes_da_Silva,Bernardo Fernandes da Silva
http://dbpedia.org/resource/Bernhard_Jensen,Bernhard Jensen
"http://dbpedia.org/resource/Bernhart,_Prince_of_Sayn-Wittgenstein-Hohenstein","Bernhart, Prince of Sayn-Wittgenstein-Hohenstein"
http://dbpedia.org/resource/Bert_Bakker,Bert Bakker
http://dbpedia.org/resource/Bertin,Bertin
http://dbpedia.org/resource/Best_(Portuguese_footballer),Best (Portuguese footballer)
http://dbpedia.org/resource/Beth_Phoenix,Beth Phoenix
http://dbpedia.org/resource/Bill_Leyden,Bill Leyden
http://dbpedia.org/resource/Billy_Boy_(wrestler),Billy Boy (wrestler)
http://dbpedia.org/resource/Bink_(record_producer),Bink (record producer)
http://dbpedia.org/resource/Blake_Richards,Blake Richards
http://dbpedia.org/resource/Blake_Williams,Blake Williams
http://dbpedia.org/resource/Blake_Williams_(basketball),Blake Williams (basketball)
http://dbpedia.org/resource/Boom_(entertainer),Boom (entertainer)
http://dbpedia.org/resource/Boss_(rapper),Boss (rapper)
http://dbpedia.org/resource/Buff_Bagwell,Buff Bagwell
http://dbpedia.org/resource/Canaletto,Canaletto
http://dbpedia.org/resource/CapitÃ£o_(footballer),CapitÃ£o (footballer)
http://dbpedia.org/resource/Carey_Wilson_(writer),Carey Wilson (writer)
http://dbpedia.org/resource/Catherine_King_(radio_broadcaster),Catherine King (radio broadcaster)
"http://dbpedia.org/resource/Christian,_Duke_of_Saxe-Eisenberg","Christian, Duke of Saxe-Eisenberg"
"http://dbpedia.org/resource/Christian,_Prince-Elect_of_Denmark","Christian, Prince-Elect of Denmark"
http://dbpedia.org/resource/Christian_Cage,Christian Cage
http://dbpedia.org/resource/Christian_CorrÃªa_Dionisio,Christian CorrÃªa Dionisio
http://dbpedia.org/resource/Christian_FernÃ¡ndez_Salas,Christian FernÃ¡ndez Salas
"http://dbpedia.org/resource/Christian_I,_Elector_of_Saxony","Christian I, Elector of Saxony"
http://dbpedia.org/resource/Christian_IV_of_Denmark,Christian IV of Denmark
http://dbpedia.org/resource/Christian_I_of_Denmark,Christian I of Denmark
http://dbpedia.org/resource/Christian_Oliver,Christian Oliver
http://dbpedia.org/resource/Christian_VIII_of_Denmark,Christian VIII of Denmark
http://dbpedia.org/resource/Christian_VII_of_Denmark,Christian VII of Denmark
http://dbpedia.org/resource/Christian_VI_of_Denmark,Christian VI of Denmark
http://dbpedia.org/resource/Christian_V_of_Denmark,Christian V of Denmark
"http://dbpedia.org/resource/Christina,_Queen_of_Sweden","Christina, Queen of Sweden"
http://dbpedia.org/resource/Cicero,Cicero
http://dbpedia.org/resource/Clarence_Mackay,Clarence Mackay
http://dbpedia.org/resource/Cliff_Norton,Cliff Norton
http://dbpedia.org/resource/Colin_George,Colin George
http://dbpedia.org/resource/Connie_Mulder,Connie Mulder
http://dbpedia.org/resource/Constantina_(empress),Constantina (empress)
http://dbpedia.org/resource/Corneille_(singer),Corneille (singer)
http://dbpedia.org/resource/Cornelis_Pronk,Cornelis Pronk
http://dbpedia.org/resource/Corona_(footballer),Corona (footballer)
http://dbpedia.org/resource/Crowbar_(wrestler),Crowbar (wrestler)
http://dbpedia.org/resource/Cyril_Mann,Cyril Mann
http://dbpedia.org/resource/DJ_Ajax,DJ Ajax
http://dbpedia.org/resource/Dale_Murray_(musician),Dale Murray (musician)
http://dbpedia.org/resource/Damianus,Damianus
http://dbpedia.org/resource/Daniele_da_Volterra,Daniele da Volterra
http://dbpedia.org/resource/Dante_(footballer),Dante (footballer)
http://dbpedia.org/resource/Dante_Alighieri,Dante Alighieri
http://dbpedia.org/resource/David_Abraham_Cheulkar,David Abraham Cheulkar
http://dbpedia.org/resource/David_Charles_(Australian_politician),David Charles (Australian politician)
http://dbpedia.org/resource/David_Charles_(physician),David Charles (physician)
http://dbpedia.org/resource/David_Evans_(RAAF_officer),David Evans (RAAF officer)
http://dbpedia.org/resource/David_FranÃ§a_Oliveira_e_Silva,David FranÃ§a Oliveira e Silva
http://dbpedia.org/resource/David_Pereira_da_Costa,David Pereira da Costa
http://dbpedia.org/resource/Davy_(Hampshire_cricketer),Davy (Hampshire cricketer)
http://dbpedia.org/resource/Dawson_(actor),Dawson (actor)
http://dbpedia.org/resource/Dean_(rapper),Dean (rapper)
http://dbpedia.org/resource/Dean_Martin,Dean Martin
"http://dbpedia.org/resource/Dean_Martin_(footballer,_born_1957)","Dean Martin (footballer, born 1957)"
http://dbpedia.org/resource/Dean_Martin_(politician),Dean Martin (politician)
