entity	label
"http://dbpedia.org/resource/Kansas_City,_Missouri"	"Kansas City, Missouri"
http://dbpedia.org/resource/2001_Mars_Odyssey	2001 Mars Odyssey
http://dbpedia.org/resource/Aalen	Aalen
http://dbpedia.org/resource/Aarau	Aarau
http://dbpedia.org/resource/Abakan	Abakan
http://dbpedia.org/resource/Abbotsford_House	Abbotsford House
"http://dbpedia.org/resource/Abdera,_Thrace"	"Abdera, Thrace"
http://dbpedia.org/resource/Abensberg	Abensberg
http://dbpedia.org/resource/Abercarn	Abercarn
http://dbpedia.org/resource/Aberdare	Aberdare
"http://dbpedia.org/resource/Aberdeen,_South_Dakota"	"Aberdeen, South Dakota"
http://dbpedia.org/resource/Aberdour	Aberdour
"http://dbpedia.org/resource/Aberfoyle,_Stirling"	"Aberfoyle, Stirling"
http://dbpedia.org/resource/Abergavenny	Abergavenny
http://dbpedia.org/resource/Abersychan	Abersychan
http://dbpedia.org/resource/Abertillery	Abertillery
http://dbpedia.org/resource/Accrington	Accrington
http://dbpedia.org/resource/Achduart	Achduart
http://dbpedia.org/resource/Achill_Island	Achill Island
http://dbpedia.org/resource/Achiltibuie	Achiltibuie
http://dbpedia.org/resource/Acropolis_of_Athens	Acropolis of Athens
http://dbpedia.org/resource/Adrastea_(moon)	Adrastea (moon)
http://dbpedia.org/resource/Aegean_Sea	Aegean Sea
http://dbpedia.org/resource/Aegina	Aegina
http://dbpedia.org/resource/Ajaccio	Ajaccio
http://dbpedia.org/resource/Ajanta_Caves	Ajanta Caves
http://dbpedia.org/resource/Ajmer-Merwara	Ajmer-Merwara
http://dbpedia.org/resource/Akkadian_Empire	Akkadian Empire
http://dbpedia.org/resource/Alabama_River	Alabama River
"http://dbpedia.org/resource/Albion,_Michigan"	"Albion, Michigan"
http://dbpedia.org/resource/Aldebaran	Aldebaran
"http://dbpedia.org/resource/Alexandria,_Indiana"	"Alexandria, Indiana"
"http://dbpedia.org/resource/Alexandria,_Louisiana"	"Alexandria, Louisiana"
"http://dbpedia.org/resource/Alexandria,_Romania"	"Alexandria, Romania"
"http://dbpedia.org/resource/Alexandria,_West_Dunbartonshire"	"Alexandria, West Dunbartonshire"
http://dbpedia.org/resource/Algiers	Algiers
http://dbpedia.org/resource/Algol	Algol
http://dbpedia.org/resource/Almoravid_dynasty	Almoravid dynasty
http://dbpedia.org/resource/Alpha_Centauri	Alpha Centauri
http://dbpedia.org/resource/Alps	Alps
http://dbpedia.org/resource/Altair	Altair
http://dbpedia.org/resource/Amazon_River	Amazon River
"http://dbpedia.org/resource/Ames,_Iowa"	"Ames, Iowa"
http://dbpedia.org/resource/Ammon	Ammon
http://dbpedia.org/resource/Amsterdam_Airport_Schiphol	Amsterdam Airport Schiphol
http://dbpedia.org/resource/Amu_Darya	Amu Darya
http://dbpedia.org/resource/Anadyr_River	Anadyr River
"http://dbpedia.org/resource/Andersonville,_Georgia"	"Andersonville, Georgia"
http://dbpedia.org/resource/Andes	Andes
"http://dbpedia.org/resource/Ann_Arbor,_Michigan"	"Ann Arbor, Michigan"
http://dbpedia.org/resource/Annapolis_Valley	Annapolis Valley
http://dbpedia.org/resource/Antares	Antares
http://dbpedia.org/resource/Antigonid_dynasty	Antigonid dynasty
http://dbpedia.org/resource/Antlia	Antlia
http://dbpedia.org/resource/Aoraki_/_Mount_Cook	Aoraki / Mount Cook
http://dbpedia.org/resource/Apollo_1	Apollo 1
http://dbpedia.org/resource/Apollo_10	Apollo 10
http://dbpedia.org/resource/Apollo_11	Apollo 11
http://dbpedia.org/resource/Apollo_12	Apollo 12
http://dbpedia.org/resource/Apollo_13	Apollo 13
http://dbpedia.org/resource/Apollo_14	Apollo 14
http://dbpedia.org/resource/Apollo_15	Apollo 15
http://dbpedia.org/resource/Apollo_16	Apollo 16
http://dbpedia.org/resource/Apollo_17	Apollo 17
http://dbpedia.org/resource/Apollo_7	Apollo 7
http://dbpedia.org/resource/Apollo_8	Apollo 8
http://dbpedia.org/resource/Apollo_9	Apollo 9
http://dbpedia.org/resource/Apus	Apus
http://dbpedia.org/resource/Aquarius_(constellation)	Aquarius (constellation)
http://dbpedia.org/resource/Ara_(constellation)	Ara (constellation)
http://dbpedia.org/resource/Arabian_Sea	Arabian Sea
http://dbpedia.org/resource/Arapaoa_Island	Arapaoa Island
http://dbpedia.org/resource/Arc_de_Triomphe	Arc de Triomphe
http://dbpedia.org/resource/Archbishopric_of_Riga	Archbishopric of Riga
http://dbpedia.org/resource/Arcturus	Arcturus
http://dbpedia.org/resource/Area_51	Area 51
http://dbpedia.org/resource/Aries_(constellation)	Aries (constellation)
http://dbpedia.org/resource/Arno	Arno
http://dbpedia.org/resource/Ashmore_and_Cartier_Islands	Ashmore and Cartier Islands
http://dbpedia.org/resource/Asia	Asia
http://dbpedia.org/resource/Assyria	Assyria
"http://dbpedia.org/resource/Astoria,_Oregon"	"Astoria, Oregon"
http://dbpedia.org/resource/Athens	Athens
http://dbpedia.org/resource/Atlanta	Atlanta
"http://dbpedia.org/resource/Austin,_Texas"	"Austin, Texas"
http://dbpedia.org/resource/Australian_Capital_Territory	Australian Capital Territory
http://dbpedia.org/resource/Austria-Hungary	Austria-Hungary
http://dbpedia.org/resource/Azincourt	Azincourt
http://dbpedia.org/resource/Azores	Azores
http://dbpedia.org/resource/Baker_Island	Baker Island
http://dbpedia.org/resource/Balkans	Balkans
http://dbpedia.org/resource/Balmoral_Castle	Balmoral Castle
http://dbpedia.org/resource/Baltic_Sea	Baltic Sea
http://dbpedia.org/resource/Banda_Islands	Banda Islands
http://dbpedia.org/resource/Bank_of_China_Tower_(Hong_Kong)	Bank of China Tower (Hong Kong)
http://dbpedia.org/resource/Baptism	Baptism
http://dbpedia.org/resource/Barcelonnette	Barcelonnette
http://dbpedia.org/resource/Barnard's_Star	Barnard's Star
http://dbpedia.org/resource/Bassas_da_India	Bassas da India
http://dbpedia.org/resource/Bauhaus	Bauhaus
http://dbpedia.org/resource/Bayonne	Bayonne
http://dbpedia.org/resource/Behistun_Inscription	Behistun Inscription
http://dbpedia.org/resource/Belfast	Belfast
http://dbpedia.org/resource/Ben_Nevis	Ben Nevis
"http://dbpedia.org/resource/Berkeley,_California"	"Berkeley, California"
http://dbpedia.org/resource/Berlin_Wall	Berlin Wall
http://dbpedia.org/resource/Bermuda_Triangle	Bermuda Triangle
http://dbpedia.org/resource/Bethlehem	Bethlehem
http://dbpedia.org/resource/Big_Dig	Big Dig
http://dbpedia.org/resource/Bishopric_of_Brandenburg	Bishopric of Brandenburg
http://dbpedia.org/resource/Black_Forest	Black Forest
http://dbpedia.org/resource/Black_Sea	Black Sea
http://dbpedia.org/resource/Bletchley_Park	Bletchley Park
http://dbpedia.org/resource/Bodmin	Bodmin
http://dbpedia.org/resource/Bohemia	Bohemia
http://dbpedia.org/resource/Bolventor	Bolventor
"http://dbpedia.org/resource/Boone,_North_Carolina"	"Boone, North Carolina"
http://dbpedia.org/resource/Bordeaux	Bordeaux
http://dbpedia.org/resource/Borneo	Borneo
http://dbpedia.org/resource/BoÌ_tes	BoÌ_tes
http://dbpedia.org/resource/Branco_River	Branco River
http://dbpedia.org/resource/British_Empire	British Empire
http://dbpedia.org/resource/British_Isles	British Isles
http://dbpedia.org/resource/British_Museum	British Museum
http://dbpedia.org/resource/Broadway_(Manhattan)	Broadway (Manhattan)
"http://dbpedia.org/resource/Buffalo,_New_York"	"Buffalo, New York"
http://dbpedia.org/resource/CN_Tower	CN Tower
"http://dbpedia.org/resource/Cadillac,_Michigan"	"Cadillac, Michigan"
http://dbpedia.org/resource/Caelum	Caelum
"http://dbpedia.org/resource/Cambridge,_Massachusetts"	"Cambridge, Massachusetts"
http://dbpedia.org/resource/Camelopardalis	Camelopardalis
http://dbpedia.org/resource/Camp_David	Camp David
http://dbpedia.org/resource/Canes_Venatici	Canes Venatici
http://dbpedia.org/resource/Canis_Major	Canis Major
http://dbpedia.org/resource/Canis_Minor	Canis Minor
http://dbpedia.org/resource/Cape_Breton_Island	Cape Breton Island
http://dbpedia.org/resource/Cape_Town	Cape Town
http://dbpedia.org/resource/Capricornus	Capricornus
http://dbpedia.org/resource/Cardiff_Arms_Park	Cardiff Arms Park
http://dbpedia.org/resource/Caribbean_Sea	Caribbean Sea
http://dbpedia.org/resource/Carina_(constellation)	Carina (constellation)
http://dbpedia.org/resource/Carme_(moon)	Carme (moon)
http://dbpedia.org/resource/Casa_BatllÌ_	Casa BatllÌ_
http://dbpedia.org/resource/Casa_MilÌÊ	Casa MilÌÊ
http://dbpedia.org/resource/Casiquiare_canal	Casiquiare canal
http://dbpedia.org/resource/Cayuga_Lake	Cayuga Lake
"http://dbpedia.org/resource/Cedar_Falls,_Iowa"	"Cedar Falls, Iowa"
http://dbpedia.org/resource/Centaurus	Centaurus
http://dbpedia.org/resource/Central_Plaza_(Hong_Kong)	Central Plaza (Hong Kong)
http://dbpedia.org/resource/Central_Powers	Central Powers
http://dbpedia.org/resource/Cetus	Cetus
http://dbpedia.org/resource/Chamaeleon	Chamaeleon
http://dbpedia.org/resource/Channel_Islands	Channel Islands
http://dbpedia.org/resource/Channel_Tunnel	Channel Tunnel
"http://dbpedia.org/resource/Cheddar,_Somerset"	"Cheddar, Somerset"
http://dbpedia.org/resource/Chernobyl	Chernobyl
http://dbpedia.org/resource/Chicago	Chicago
http://dbpedia.org/resource/Chios	Chios
http://dbpedia.org/resource/ChojnÌ_w	ChojnÌ_w
http://dbpedia.org/resource/Cholistan_Desert	Cholistan Desert
http://dbpedia.org/resource/Chrysler_Building	Chrysler Building
http://dbpedia.org/resource/Church_of_the_Holy_Sepulchre	Church of the Holy Sepulchre
http://dbpedia.org/resource/City_of_London	City of London
http://dbpedia.org/resource/Civil_Rights_Memorial	Civil Rights Memorial
http://dbpedia.org/resource/Cleveland	Cleveland
http://dbpedia.org/resource/Cluny	Cluny
http://dbpedia.org/resource/Cobble_Hill_Tunnel	Cobble Hill Tunnel
http://dbpedia.org/resource/Cocos_(Keeling)_Islands	Cocos (Keeling) Islands
"http://dbpedia.org/resource/Colorado_Springs,_Colorado"	"Colorado Springs, Colorado"
"http://dbpedia.org/resource/Columbia,_Missouri"	"Columbia, Missouri"
http://dbpedia.org/resource/Columbia_River	Columbia River
"http://dbpedia.org/resource/Columbus,_Indiana"	"Columbus, Indiana"
