"entity","label"
"http://dbpedia.org/resource/John_Oponjo_Benjamin","John Oponjo Benjamin"
"http://dbpedia.org/resource/Babrak_Karmal","Babrak Karmal"
"http://dbpedia.org/resource/Bill_Clinton","Bill Clinton"
"http://dbpedia.org/resource/Chiang_Kai-shek","Chiang Kai-shek"
"http://dbpedia.org/resource/Francesco_Cossiga","Francesco Cossiga"
"http://dbpedia.org/resource/Francisco_I._Madero","Francisco I. Madero"
"http://dbpedia.org/resource/Gyula_Andrássy","Gyula Andrássy"
"http://dbpedia.org/resource/Hafizullah_Amin","Hafizullah Amin"
"http://dbpedia.org/resource/Johannes_Rau","Johannes Rau"
"http://dbpedia.org/resource/Karl_Dönitz","Karl Dönitz"
"http://dbpedia.org/resource/Kenneth_Kaunda","Kenneth Kaunda"
"http://dbpedia.org/resource/Klement_Gottwald","Klement Gottwald"
"http://dbpedia.org/resource/Pierre_de_Coubertin","Pierre de Coubertin"
"http://dbpedia.org/resource/Ruhollah_Khomeini","Ruhollah Khomeini"
"http://dbpedia.org/resource/Ruslan_Khasbulatov","Ruslan Khasbulatov"
"http://dbpedia.org/resource/İsmet_İnönü","İsmet İnönü"
"http://dbpedia.org/resource/Syngman_Rhee","Syngman Rhee"
"http://dbpedia.org/resource/César_Gaviria","César Gaviria"
"http://dbpedia.org/resource/Emilio_Aguinaldo","Emilio Aguinaldo"
"http://dbpedia.org/resource/Enrico_De_Nicola","Enrico De Nicola"
"http://dbpedia.org/resource/Eurico_Gaspar_Dutra","Eurico Gaspar Dutra"
"http://dbpedia.org/resource/Hans_Blix","Hans Blix"
"http://dbpedia.org/resource/Hugo_Banzer","Hugo Banzer"
"http://dbpedia.org/resource/Janez_Drnovšek","Janez Drnovšek"
"http://dbpedia.org/resource/Juho_Kusti_Paasikivi","Juho Kusti Paasikivi"
"http://dbpedia.org/resource/Kaarlo_Juho_Ståhlberg","Kaarlo Juho Ståhlberg"
"http://dbpedia.org/resource/Kristján_Eldjárn","Kristján Eldjárn"
"http://dbpedia.org/resource/Kyösti_Kallio","Kyösti Kallio"
"http://dbpedia.org/resource/Lauri_Kristian_Relander","Lauri Kristian Relander"
"http://dbpedia.org/resource/Mauno_Koivisto","Mauno Koivisto"
"http://dbpedia.org/resource/Ne_Win","Ne Win"
"http://dbpedia.org/resource/Pehr_Evind_Svinhufvud","Pehr Evind Svinhufvud"
"http://dbpedia.org/resource/Song_Jiaoren","Song Jiaoren"
"http://dbpedia.org/resource/Sveinn_Björnsson","Sveinn Björnsson"
"http://dbpedia.org/resource/Carlos_Ibáñez_del_Campo","Carlos Ibáñez del Campo"
"http://dbpedia.org/resource/Ernesto_Geisel","Ernesto Geisel"
"http://dbpedia.org/resource/Gérard_Larcher","Gérard Larcher"
"http://dbpedia.org/resource/José_María_Velasco_Ibarra","José María Velasco Ibarra"
"http://dbpedia.org/resource/Stanisław_Bułak-Bałachowicz","Stanisław Bułak-Bałachowicz"
"http://dbpedia.org/resource/Afonso_Pena","Afonso Pena"
"http://dbpedia.org/resource/Ali_Akbar_Nategh-Nouri","Ali Akbar Nategh-Nouri"
"http://dbpedia.org/resource/Ascensión_Esquivel_Ibarra","Ascensión Esquivel Ibarra"
"http://dbpedia.org/resource/Aslan_Dzharimov","Aslan Dzharimov"
"http://dbpedia.org/resource/Aslan_Maskhadov","Aslan Maskhadov"
"http://dbpedia.org/resource/Aslan_Tkhakushinov","Aslan Tkhakushinov"
"http://dbpedia.org/resource/Behzad_Nabavi","Behzad Nabavi"
"http://dbpedia.org/resource/Bernardo_O'Higgins","Bernardo O'Higgins"
"http://dbpedia.org/resource/Brock_Chisholm","Brock Chisholm"
"http://dbpedia.org/resource/Delfim_Moreira","Delfim Moreira"
"http://dbpedia.org/resource/Domingo_Faustino_Sarmiento","Domingo Faustino Sarmiento"
"http://dbpedia.org/resource/Enrique_Hertzog","Enrique Hertzog"
"http://dbpedia.org/resource/Enrique_Santamarina","Enrique Santamarina"
"http://dbpedia.org/resource/Fidel_V._Ramos","Fidel V. Ramos"
"http://dbpedia.org/resource/Fortunato_Borbon","Fortunato Borbon"
"http://dbpedia.org/resource/Francisco_Morazán","Francisco Morazán"
"http://dbpedia.org/resource/Friedrich_Kaufmann_Höhne","Friedrich Kaufmann Höhne"
"http://dbpedia.org/resource/Geoffrey_Edmund_Cator","Geoffrey Edmund Cator"
"http://dbpedia.org/resource/Gheorghe_Apostol","Gheorghe Apostol"
"http://dbpedia.org/resource/Gheorghe_Gheorghiu-Dej","Gheorghe Gheorghiu-Dej"
"http://dbpedia.org/resource/Guido_de_Marco","Guido de Marco"
"http://dbpedia.org/resource/Hernando_Siles_Reyes","Hernando Siles Reyes"
"http://dbpedia.org/resource/István_Tisza","István Tisza"
"http://dbpedia.org/resource/Jacobus_Johannes_Venter","Jacobus Johannes Venter"
"http://dbpedia.org/resource/Jerry_Rawlings","Jerry Rawlings"
"http://dbpedia.org/resource/John_Sandfield_Macdonald","John Sandfield Macdonald"
"http://dbpedia.org/resource/Joseph-Adolphe_Chapleau","Joseph-Adolphe Chapleau"
"http://dbpedia.org/resource/José_María_Guido","José María Guido"
"http://dbpedia.org/resource/José_María_Obando","José María Obando"
"http://dbpedia.org/resource/José_María_Reina_Andrade","José María Reina Andrade"
"http://dbpedia.org/resource/Juan_Vicente_Gómez","Juan Vicente Gómez"
"http://dbpedia.org/resource/Juan_Álvarez","Juan Álvarez"
"http://dbpedia.org/resource/Konstantinos_Karamanlis","Konstantinos Karamanlis"
"http://dbpedia.org/resource/Kálmán_Tisza","Kálmán Tisza"
"http://dbpedia.org/resource/Manuel_Ávila_Camacho","Manuel Ávila Camacho"
"http://dbpedia.org/resource/Martín_Torrijos","Martín Torrijos"
"http://dbpedia.org/resource/Mesut_Yılmaz","Mesut Yılmaz"
"http://dbpedia.org/resource/Oladipo_Diya","Oladipo Diya"
"http://dbpedia.org/resource/Peter_MacDonald_(Navajo_leader)","Peter MacDonald (Navajo leader)"
"http://dbpedia.org/resource/Presidency_of_Theodore_Roosevelt","Presidency of Theodore Roosevelt"
"http://dbpedia.org/resource/Reza_Ostadi","Reza Ostadi"
"http://dbpedia.org/resource/Robert_Gordon_Robertson","Robert Gordon Robertson"
"http://dbpedia.org/resource/Shen_Tong","Shen Tong"
"http://dbpedia.org/resource/Álvaro_Obregón","Álvaro Obregón"
"http://dbpedia.org/resource/Ana_Vilma_de_Escobar","Ana Vilma de Escobar"
"http://dbpedia.org/resource/Adolfo_de_la_Huerta","Adolfo de la Huerta"
"http://dbpedia.org/resource/Alejandro_Agustín_Lanusse","Alejandro Agustín Lanusse"
"http://dbpedia.org/resource/Ali_Mahdi_Muhammad","Ali Mahdi Muhammad"
"http://dbpedia.org/resource/Antonio_Guzmán_Blanco","Antonio Guzmán Blanco"
"http://dbpedia.org/resource/Antonio_Saca","Antonio Saca"
"http://dbpedia.org/resource/Antonio_Segni","Antonio Segni"
"http://dbpedia.org/resource/Antonio_Álvarez_Jonte","Antonio Álvarez Jonte"
"http://dbpedia.org/resource/Daniel_Lionel_Hanington","Daniel Lionel Hanington"
"http://dbpedia.org/resource/Emil_Constantinescu","Emil Constantinescu"
