"entity","label"
"http://dbpedia.org/resource/American_University_of_Beirut","American University of Beirut"
"http://dbpedia.org/resource/An-Najah_National_University","An-Najah National University"
"http://dbpedia.org/resource/Australian_National_University","Australian National University"
"http://dbpedia.org/resource/Banaras_Hindu_University","Banaras Hindu University"
"http://dbpedia.org/resource/Carleton_University","Carleton University"
"http://dbpedia.org/resource/Chulalongkorn_University","Chulalongkorn University"
"http://dbpedia.org/resource/Columbia_University","Columbia University"
"http://dbpedia.org/resource/De_Montfort_University","De Montfort University"
"http://dbpedia.org/resource/ETH_Zurich","ETH Zurich"
"http://dbpedia.org/resource/Eindhoven_University_of_Technology","Eindhoven University of Technology"
"http://dbpedia.org/resource/Gadjah_Mada_University","Gadjah Mada University"
"http://dbpedia.org/resource/King's_College_London","King's College London"
"http://dbpedia.org/resource/Leipzig_University","Leipzig University"
"http://dbpedia.org/resource/Massey_University","Massey University"
"http://dbpedia.org/resource/McMaster_University","McMaster University"
"http://dbpedia.org/resource/Middlesex_University","Middlesex University"
"http://dbpedia.org/resource/Monash_University","Monash University"
"http://dbpedia.org/resource/National_Taiwan_University","National Taiwan University"
"http://dbpedia.org/resource/Oxford_Brookes_University","Oxford Brookes University"
"http://dbpedia.org/resource/Peking_University","Peking University"
"http://dbpedia.org/resource/Poznań_University_of_Technology","Poznań University of Technology"
"http://dbpedia.org/resource/Queen's_University","Queen's University"
"http://dbpedia.org/resource/Sheffield_Hallam_University","Sheffield Hallam University"
"http://dbpedia.org/resource/Technical_University_of_Denmark","Technical University of Denmark"
"http://dbpedia.org/resource/University_College_Cork","University College Cork"
"http://dbpedia.org/resource/University_of_Aberdeen","University of Aberdeen"
"http://dbpedia.org/resource/University_of_Adelaide","University of Adelaide"
"http://dbpedia.org/resource/University_of_Alberta","University of Alberta"
"http://dbpedia.org/resource/University_of_Bergen","University of Bergen"
"http://dbpedia.org/resource/University_of_Bremen","University of Bremen"
"http://dbpedia.org/resource/University_of_Brighton","University of Brighton"
"http://dbpedia.org/resource/University_of_Bristol","University of Bristol"
"http://dbpedia.org/resource/University_of_Calgary","University of Calgary"
"http://dbpedia.org/resource/University_of_Cologne","University of Cologne"
"http://dbpedia.org/resource/University_of_Duisburg-Essen","University of Duisburg-Essen"
"http://dbpedia.org/resource/University_of_Florida","University of Florida"
"http://dbpedia.org/resource/University_of_Glasgow","University of Glasgow"
"http://dbpedia.org/resource/University_of_Hamburg","University of Hamburg"
"http://dbpedia.org/resource/University_of_Helsinki","University of Helsinki"
"http://dbpedia.org/resource/University_of_Konstanz","University of Konstanz"
"http://dbpedia.org/resource/University_of_Lausanne","University of Lausanne"
"http://dbpedia.org/resource/University_of_Limerick","University of Limerick"
"http://dbpedia.org/resource/University_of_Lincoln","University of Lincoln"
"http://dbpedia.org/resource/University_of_Manitoba","University of Manitoba"
"http://dbpedia.org/resource/University_of_Maribor","University of Maribor"
"http://dbpedia.org/resource/University_of_Michigan","University of Michigan"
"http://dbpedia.org/resource/University_of_New_South_Wales","University of New South Wales"
"http://dbpedia.org/resource/University_of_Ottawa","University of Ottawa"
"http://dbpedia.org/resource/University_of_Oxford","University of Oxford"
"http://dbpedia.org/resource/University_of_Pretoria","University of Pretoria"
"http://dbpedia.org/resource/University_of_Stirling","University of Stirling"
"http://dbpedia.org/resource/University_of_Surrey","University of Surrey"
"http://dbpedia.org/resource/University_of_Sussex","University of Sussex"
"http://dbpedia.org/resource/University_of_Tampere","University of Tampere"
"http://dbpedia.org/resource/University_of_Tehran","University of Tehran"
"http://dbpedia.org/resource/University_of_Toronto","University of Toronto"
"http://dbpedia.org/resource/University_of_Tromsø","University of Tromsø"
"http://dbpedia.org/resource/University_of_Victoria","University of Victoria"
"http://dbpedia.org/resource/University_of_Vienna","University of Vienna"
"http://dbpedia.org/resource/University_of_Virginia","University of Virginia"
"http://dbpedia.org/resource/University_of_Warwick","University of Warwick"
"http://dbpedia.org/resource/University_of_Western_Ontario","University of Western Ontario"
"http://dbpedia.org/resource/University_of_Zurich","University of Zurich"
"http://dbpedia.org/resource/Acadia_University","Acadia University"
"http://dbpedia.org/resource/Arizona_State_University","Arizona State University"
"http://dbpedia.org/resource/BI_Norwegian_Business_School","BI Norwegian Business School"
"http://dbpedia.org/resource/Barnard_College","Barnard College"
"http://dbpedia.org/resource/Bob_Jones_University","Bob Jones University"
"http://dbpedia.org/resource/Brown_University","Brown University"
"http://dbpedia.org/resource/California_Institute_of_Technology","California Institute of Technology"
"http://dbpedia.org/resource/Chalmers_University_of_Technology","Chalmers University of Technology"
"http://dbpedia.org/resource/City_University_of_New_York","City University of New York"
"http://dbpedia.org/resource/Crandall_University","Crandall University"
"http://dbpedia.org/resource/Dalhousie_University","Dalhousie University"
"http://dbpedia.org/resource/Dartmouth_College","Dartmouth College"
"http://dbpedia.org/resource/Drexel_University","Drexel University"
"http://dbpedia.org/resource/Geneva_College","Geneva College"
"http://dbpedia.org/resource/George_Mason_University","George Mason University"
"http://dbpedia.org/resource/Grinnell_College","Grinnell College"
"http://dbpedia.org/resource/Harvey_Mudd_College","Harvey Mudd College"
"http://dbpedia.org/resource/Hunter_College","Hunter College"
"http://dbpedia.org/resource/Indian_Institute_of_Technology_Kanpur","Indian Institute of Technology Kanpur"
"http://dbpedia.org/resource/Iowa_State_University","Iowa State University"
"http://dbpedia.org/resource/Ithaca_College","Ithaca College"
"http://dbpedia.org/resource/Jadavpur_University","Jadavpur University"
"http://dbpedia.org/resource/James_Madison_University","James Madison University"
"http://dbpedia.org/resource/KAIST","KAIST"
"http://dbpedia.org/resource/Kansas_State_University","Kansas State University"
"http://dbpedia.org/resource/Kent_State_University","Kent State University"
"http://dbpedia.org/resource/Lund_University","Lund University"
"http://dbpedia.org/resource/Macquarie_University","Macquarie University"
"http://dbpedia.org/resource/Massachusetts_Institute_of_Technology","Massachusetts Institute of Technology"
"http://dbpedia.org/resource/Millsaps_College","Millsaps College"
"http://dbpedia.org/resource/Mount_Saint_Vincent_University","Mount Saint Vincent University"
"http://dbpedia.org/resource/National_War_College","National War College"
"http://dbpedia.org/resource/Northern_Michigan_University","Northern Michigan University"
"http://dbpedia.org/resource/Oberlin_College","Oberlin College"
"http://dbpedia.org/resource/Occidental_College","Occidental College"
"http://dbpedia.org/resource/Ohio_State_University","Ohio State University"
"http://dbpedia.org/resource/Princeton_University","Princeton University"
"http://dbpedia.org/resource/Purdue_University","Purdue University"
"http://dbpedia.org/resource/Reed_College","Reed College"
"http://dbpedia.org/resource/Rice_University","Rice University"
"http://dbpedia.org/resource/Royal_Institute_of_Technology","Royal Institute of Technology"
"http://dbpedia.org/resource/Simon_Fraser_University","Simon Fraser University"
"http://dbpedia.org/resource/St._John_Fisher_College","St. John Fisher College"
"http://dbpedia.org/resource/Stanford_University","Stanford University"
"http://dbpedia.org/resource/Stockholm_School_of_Economics","Stockholm School of Economics"
"http://dbpedia.org/resource/Stockholm_University","Stockholm University"
"http://dbpedia.org/resource/University_of_Gothenburg","University of Gothenburg"
"http://dbpedia.org/resource/Unification_Theological_Seminary","Unification Theological Seminary"
"http://dbpedia.org/resource/King's_College_London_GKT_School_of_Medical_Education","King's College London GKT School of Medical Education"
"http://dbpedia.org/resource/Ripon_College_(Wisconsin)","Ripon College (Wisconsin)"
"http://dbpedia.org/resource/Royal_Academy_of_Dramatic_Art","Royal Academy of Dramatic Art"
"http://dbpedia.org/resource/University_of_Illinois_system","University of Illinois system"
"http://dbpedia.org/resource/Adolfo_Ibáñez_University","Adolfo Ibáñez University"
"http://dbpedia.org/resource/African_School_of_Economics","African School of Economics"
"http://dbpedia.org/resource/Allan_Hancock_College","Allan Hancock College"
"http://dbpedia.org/resource/Amity_School_of_Engineering","Amity School of Engineering"
"http://dbpedia.org/resource/Bard_College_Berlin","Bard College Berlin"
"http://dbpedia.org/resource/Bow_Valley_College","Bow Valley College"
"http://dbpedia.org/resource/Capital_Normal_University","Capital Normal University"
"http://dbpedia.org/resource/Chia_Nan_University_of_Pharmacy_and_Science","Chia Nan University of Pharmacy and Science"
"http://dbpedia.org/resource/Higher_University_of_San_Andrés","Higher University of San Andrés"
"http://dbpedia.org/resource/Hope_International_University","Hope International University"
"http://dbpedia.org/resource/Institute_of_Business_Administration,_Jahangirnagar_University","Institute of Business Administration, Jahangirnagar University"
"http://dbpedia.org/resource/Institute_of_Business_Administration,_Karachi","Institute of Business Administration, Karachi"
"http://dbpedia.org/resource/Institute_of_Business_Administration,_University_of_Rajshahi","Institute of Business Administration, University of Rajshahi"
