"entity","label"
"http://dbpedia.org/resource/Dante_Alighieri","Dante Alighieri"
"http://dbpedia.org/resource/Joost_van_den_Vondel","Joost van den Vondel"
"http://dbpedia.org/resource/Jules_Renard","Jules Renard"
"http://dbpedia.org/resource/Luís_Romano_de_Madeira_Melo","Luís Romano de Madeira Melo"
"http://dbpedia.org/resource/Martial","Martial"
"http://dbpedia.org/resource/Michael_North_(professor)","Michael North (professor)"
"http://dbpedia.org/resource/Molière","Molière"
"http://dbpedia.org/resource/Personal_life_of_Cicero","Personal life of Cicero"
"http://dbpedia.org/resource/Richard_Wagner_(novelist)","Richard Wagner (novelist)"
"http://dbpedia.org/resource/Russell_Smith_(writer)","Russell Smith (writer)"
"http://dbpedia.org/resource/Voltaire","Voltaire"
"http://dbpedia.org/resource/Yuasa_Yoshiko","Yuasa Yoshiko"
"http://dbpedia.org/resource/A._A._Milne","A. A. Milne"
"http://dbpedia.org/resource/A._E._Housman","A. E. Housman"
"http://dbpedia.org/resource/A._E._van_Vogt","A. E. van Vogt"
"http://dbpedia.org/resource/Agatha_Christie","Agatha Christie"
"http://dbpedia.org/resource/Alan_Ayckbourn","Alan Ayckbourn"
"http://dbpedia.org/resource/Alan_Garner","Alan Garner"
"http://dbpedia.org/resource/Aldous_Huxley","Aldous Huxley"
"http://dbpedia.org/resource/Aleksandr_Solzhenitsyn","Aleksandr Solzhenitsyn"
"http://dbpedia.org/resource/Alfred_Jarry","Alfred Jarry"
"http://dbpedia.org/resource/Allen_Ginsberg","Allen Ginsberg"
"http://dbpedia.org/resource/Anatole_France","Anatole France"
"http://dbpedia.org/resource/Anaïs_Nin","Anaïs Nin"
"http://dbpedia.org/resource/Andrzej_Sapkowski","Andrzej Sapkowski"
"http://dbpedia.org/resource/André_Gide","André Gide"
"http://dbpedia.org/resource/Anne_Brontë","Anne Brontë"
"http://dbpedia.org/resource/Anton_Chekhov","Anton Chekhov"
"http://dbpedia.org/resource/Apuleius","Apuleius"
"http://dbpedia.org/resource/Arthur_Laurents","Arthur Laurents"
"http://dbpedia.org/resource/Arthur_Miller","Arthur Miller"
"http://dbpedia.org/resource/August_Derleth","August Derleth"
"http://dbpedia.org/resource/Ayn_Rand","Ayn Rand"
"http://dbpedia.org/resource/Beatrix_Potter","Beatrix Potter"
"http://dbpedia.org/resource/Ben_Bova","Ben Bova"
"http://dbpedia.org/resource/Bill_Bryson","Bill Bryson"
"http://dbpedia.org/resource/Bjørn_Lomborg","Bjørn Lomborg"
"http://dbpedia.org/resource/Boris_Pasternak","Boris Pasternak"
"http://dbpedia.org/resource/Bram_Stoker","Bram Stoker"
"http://dbpedia.org/resource/Brian_Aldiss","Brian Aldiss"
"http://dbpedia.org/resource/Brion_Gysin","Brion Gysin"
"http://dbpedia.org/resource/Bruce_Sterling","Bruce Sterling"
"http://dbpedia.org/resource/C._L._Moore","C. L. Moore"
"http://dbpedia.org/resource/C._Northcote_Parkinson","C. Northcote Parkinson"
"http://dbpedia.org/resource/C._S._Forester","C. S. Forester"
"http://dbpedia.org/resource/C._S._Lewis","C. S. Lewis"
"http://dbpedia.org/resource/Carlo_Collodi","Carlo Collodi"
"http://dbpedia.org/resource/Carlo_Goldoni","Carlo Goldoni"
"http://dbpedia.org/resource/Charles_Baudelaire","Charles Baudelaire"
"http://dbpedia.org/resource/Charles_Dickens","Charles Dickens"
"http://dbpedia.org/resource/Charles_Williams_(British_writer)","Charles Williams (British writer)"
"http://dbpedia.org/resource/Charlotte_Brontë","Charlotte Brontë"
"http://dbpedia.org/resource/Christopher_Marlowe","Christopher Marlowe"
"http://dbpedia.org/resource/Clark_Ashton_Smith","Clark Ashton Smith"
"http://dbpedia.org/resource/Clive_Barker","Clive Barker"
"http://dbpedia.org/resource/Colette","Colette"
"http://dbpedia.org/resource/Colin_Dexter","Colin Dexter"
"http://dbpedia.org/resource/Cordwainer_Smith","Cordwainer Smith"
"http://dbpedia.org/resource/Cyril_M._Kornbluth","Cyril M. Kornbluth"
"http://dbpedia.org/resource/Czesław_Miłosz","Czesław Miłosz"
"http://dbpedia.org/resource/Dalton_Trumbo","Dalton Trumbo"
"http://dbpedia.org/resource/Damon_Runyon","Damon Runyon"
"http://dbpedia.org/resource/Dan_Simmons","Dan Simmons"
"http://dbpedia.org/resource/Daniel_Defoe","Daniel Defoe"
"http://dbpedia.org/resource/Dave_Barry","Dave Barry"
"http://dbpedia.org/resource/David_Mamet","David Mamet"
"http://dbpedia.org/resource/Dean_Koontz","Dean Koontz"
"http://dbpedia.org/resource/Derek_Walcott","Derek Walcott"
"http://dbpedia.org/resource/Donald_A._Wollheim","Donald A. Wollheim"
"http://dbpedia.org/resource/Dorothy_Parker","Dorothy Parker"
"http://dbpedia.org/resource/Douglas_Adams","Douglas Adams"
"http://dbpedia.org/resource/Dr._Seuss","Dr. Seuss"
"http://dbpedia.org/resource/Dylan_Thomas","Dylan Thomas"
"http://dbpedia.org/resource/E._B._White","E. B. White"
"http://dbpedia.org/resource/E._E._Smith","E. E. Smith"
"http://dbpedia.org/resource/E._T._A._Hoffmann","E. T. A. Hoffmann"
"http://dbpedia.org/resource/Edgar_Allan_Poe","Edgar Allan Poe"
"http://dbpedia.org/resource/Edgar_Rice_Burroughs","Edgar Rice Burroughs"
"http://dbpedia.org/resource/Edmund_Spenser","Edmund Spenser"
"http://dbpedia.org/resource/Edna_St._Vincent_Millay","Edna St. Vincent Millay"
"http://dbpedia.org/resource/Eduardo_Blasco_Ferrer","Eduardo Blasco Ferrer"
"http://dbpedia.org/resource/Edward_Bellamy","Edward Bellamy"
"http://dbpedia.org/resource/Edward_Lear","Edward Lear"
"http://dbpedia.org/resource/Edward_Plunkett,_18th_Baron_of_Dunsany","Edward Plunkett, 18th Baron of Dunsany"
"http://dbpedia.org/resource/Elias_Canetti","Elias Canetti"
"http://dbpedia.org/resource/Elie_Wiesel","Elie Wiesel"
"http://dbpedia.org/resource/Elizabeth_Barrett_Browning","Elizabeth Barrett Browning"
"http://dbpedia.org/resource/Emily_Brontë","Emily Brontë"
"http://dbpedia.org/resource/Enid_Blyton","Enid Blyton"
"http://dbpedia.org/resource/Eric_Hoffer","Eric Hoffer"
"http://dbpedia.org/resource/Ernest_Hemingway","Ernest Hemingway"
"http://dbpedia.org/resource/Ernest_Thayer","Ernest Thayer"
"http://dbpedia.org/resource/FM-2030","FM-2030"
"http://dbpedia.org/resource/Fernando_Pessoa","Fernando Pessoa"
"http://dbpedia.org/resource/Filippo_Tommaso_Marinetti","Filippo Tommaso Marinetti"
"http://dbpedia.org/resource/Frank_Herbert","Frank Herbert"
"http://dbpedia.org/resource/Frank_Kelly_Freas","Frank Kelly Freas"
"http://dbpedia.org/resource/Frans_Eemil_Sillanpää","Frans Eemil Sillanpää"
"http://dbpedia.org/resource/Fred_Reed","Fred Reed"
"http://dbpedia.org/resource/Frederik_Pohl","Frederik Pohl"
"http://dbpedia.org/resource/Fritz_Leiber","Fritz Leiber"
"http://dbpedia.org/resource/Fyodor_Dostoyevsky","Fyodor Dostoyevsky"
"http://dbpedia.org/resource/G._K._Chesterton","G. K. Chesterton"
"http://dbpedia.org/resource/Gary_Gygax","Gary Gygax"
"http://dbpedia.org/resource/Gary_Snyder","Gary Snyder"
"http://dbpedia.org/resource/Geoff_Ryman","Geoff Ryman"
"http://dbpedia.org/resource/George_Bernard_Shaw","George Bernard Shaw"
"http://dbpedia.org/resource/George_Eliot","George Eliot"
"http://dbpedia.org/resource/George_Orwell","George Orwell"
"http://dbpedia.org/resource/George_R._R._Martin","George R. R. Martin"
"http://dbpedia.org/resource/George_Robert_Aberigh-Mackay","George Robert Aberigh-Mackay"
"http://dbpedia.org/resource/Giosuè_Carducci","Giosuè Carducci"
"http://dbpedia.org/resource/Giovanni_Boccaccio","Giovanni Boccaccio"
"http://dbpedia.org/resource/Gotthold_Ephraim_Lessing","Gotthold Ephraim Lessing"
"http://dbpedia.org/resource/Grazia_Deledda","Grazia Deledda"
"http://dbpedia.org/resource/Greg_Egan","Greg Egan"
"http://dbpedia.org/resource/Gustave_Flaubert","Gustave Flaubert"
"http://dbpedia.org/resource/Guy_de_Maupassant","Guy de Maupassant"
"http://dbpedia.org/resource/H._G._Wells","H. G. Wells"
"http://dbpedia.org/resource/H._P._Lovecraft","H. P. Lovecraft"
"http://dbpedia.org/resource/Hal_Clement","Hal Clement"
"http://dbpedia.org/resource/Halldór_Laxness","Halldór Laxness"
"http://dbpedia.org/resource/Hannes_Bok","Hannes Bok"
"http://dbpedia.org/resource/Hans_Christian_Andersen","Hans Christian Andersen"
"http://dbpedia.org/resource/Harlan_Ellison","Harlan Ellison"
"http://dbpedia.org/resource/Helen_Keller","Helen Keller"
"http://dbpedia.org/resource/Henrik_Ibsen","Henrik Ibsen"
"http://dbpedia.org/resource/Henry_Chadwick_(writer)","Henry Chadwick (writer)"
"http://dbpedia.org/resource/Henry_Fielding","Henry Fielding"
"http://dbpedia.org/resource/Henryk_Sienkiewicz","Henryk Sienkiewicz"
"http://dbpedia.org/resource/Herman_Melville","Herman Melville"
"http://dbpedia.org/resource/Hermann_Hesse","Hermann Hesse"
"http://dbpedia.org/resource/Horace","Horace"
"http://dbpedia.org/resource/Hugo_Gernsback","Hugo Gernsback"
"http://dbpedia.org/resource/Hunter_S._Thompson","Hunter S. Thompson"
"http://dbpedia.org/resource/Iain_Banks","Iain Banks"
"http://dbpedia.org/resource/Isaac_Asimov","Isaac Asimov"
"http://dbpedia.org/resource/Isaac_Bashevis_Singer","Isaac Bashevis Singer"
"http://dbpedia.org/resource/Italo_Calvino","Italo Calvino"
