class,label
http://dbpedia.org/ontology/Broadcaster,broadcaster
http://dbpedia.org/ontology/EducationalInstitution,educational institution
http://dbpedia.org/ontology/EmployersOrganisation,Employers' Organisation
http://dbpedia.org/ontology/GeopoliticalOrganisation,geopolitical organisation
http://dbpedia.org/ontology/GovernmentAgency,government agency
http://dbpedia.org/ontology/Group,group
http://dbpedia.org/ontology/InternationalOrganisation,international organisation
http://dbpedia.org/ontology/Legislature,legislature
http://dbpedia.org/ontology/MilitaryUnit,military unit
http://dbpedia.org/ontology/Non-ProfitOrganisation,non-profit organisation
http://dbpedia.org/ontology/Parliament,parliament
http://dbpedia.org/ontology/PoliticalParty,political party
http://dbpedia.org/ontology/PublicTransitSystem,public transit system
http://dbpedia.org/ontology/ReligiousOrganisation,religious organisation
http://dbpedia.org/ontology/SambaSchool,samba school
http://dbpedia.org/ontology/SportsClub,sports club
http://dbpedia.org/ontology/SportsLeague,sports league
http://dbpedia.org/ontology/SportsTeam,sports team
http://dbpedia.org/ontology/TermOfOffice,term of office
http://dbpedia.org/ontology/TradeUnion,trade union
http://dbpedia.org/ontology/Company,company
http://dbpedia.org/ontology/Organisation,organisation
