class,label
http://dbpedia.org/ontology/Ambassador,ambassador
http://dbpedia.org/ontology/Archeologist,archeologist
http://dbpedia.org/ontology/Architect,architect
http://dbpedia.org/ontology/Aristocrat,aristocrat
http://dbpedia.org/ontology/Artist,artist
http://dbpedia.org/ontology/Astronaut,astronaut
http://dbpedia.org/ontology/Athlete,athlete
http://dbpedia.org/ontology/BeautyQueen,beauty queen
http://dbpedia.org/ontology/BusinessPerson,businessperson
http://dbpedia.org/ontology/Celebrity,celebrity
http://dbpedia.org/ontology/Chef,chef
http://dbpedia.org/ontology/Cleric,cleric
http://dbpedia.org/ontology/Coach,coach
http://dbpedia.org/ontology/Criminal,criminal
http://dbpedia.org/ontology/Economist,economist
http://dbpedia.org/ontology/Egyptologist,egyptologist
http://dbpedia.org/ontology/Engineer,engineer
http://dbpedia.org/ontology/Farmer,farmer
http://dbpedia.org/ontology/FictionalCharacter,fictional character
http://dbpedia.org/ontology/HorseTrainer,horse trainer
http://dbpedia.org/ontology/Journalist,journalist
http://dbpedia.org/ontology/Judge,judge
http://dbpedia.org/ontology/Lawyer,Lawyer
http://dbpedia.org/ontology/Linguist,linguist
http://dbpedia.org/ontology/MemberResistanceMovement,Member of a Resistance Movement
http://dbpedia.org/ontology/MilitaryPerson,military person
http://dbpedia.org/ontology/Model,model
http://dbpedia.org/ontology/Monarch,monarch
http://dbpedia.org/ontology/MovieDirector,Movie director
http://dbpedia.org/ontology/Noble,noble
http://dbpedia.org/ontology/OfficeHolder,office holder
http://dbpedia.org/ontology/OrganisationMember,Organisation member
http://dbpedia.org/ontology/Orphan,orphan
http://dbpedia.org/ontology/Philosopher,philosopher
http://dbpedia.org/ontology/PlayboyPlaymate,Playboy Playmate
http://dbpedia.org/ontology/Politician,politician
http://dbpedia.org/ontology/PoliticianSpouse,politician spouse
http://dbpedia.org/ontology/Presenter,presenter
http://dbpedia.org/ontology/Producer,Producer
http://dbpedia.org/ontology/Psychologist,psychologist
http://dbpedia.org/ontology/Referee,referee
http://dbpedia.org/ontology/Religious,religious
http://dbpedia.org/ontology/RomanEmperor,roman emperor
http://dbpedia.org/ontology/Royalty,royalty
http://dbpedia.org/ontology/Scientist,scientist
http://dbpedia.org/ontology/SportsManager,sports manager
http://dbpedia.org/ontology/TelevisionDirector,Television director
http://dbpedia.org/ontology/TelevisionPersonality,television personality
http://dbpedia.org/ontology/TheatreDirector,Theatre director
http://dbpedia.org/ontology/Writer,writer
http://dbpedia.org/ontology/Person,person
