class,label
http://dbpedia.org/ontology/Chancellor,chancellor
http://dbpedia.org/ontology/Congressman,congressman
http://dbpedia.org/ontology/Deputy,deputy
http://dbpedia.org/ontology/Governor,governor
http://dbpedia.org/ontology/Lieutenant,lieutenant
http://dbpedia.org/ontology/Mayor,mayor
http://dbpedia.org/ontology/MemberOfParliament,member of parliament
http://dbpedia.org/ontology/President,president
http://dbpedia.org/ontology/PrimeMinister,prime minister
http://dbpedia.org/ontology/Senator,senator
http://dbpedia.org/ontology/VicePresident,vice president
http://dbpedia.org/ontology/VicePrimeMinister,vice prime minister
http://dbpedia.org/ontology/Politician,politician
