class,label
http://dbpedia.org/ontology/Agglomeration,agglomeration
http://dbpedia.org/ontology/Community,Community
http://dbpedia.org/ontology/Continent,continent
http://dbpedia.org/ontology/Country,country
http://dbpedia.org/ontology/GatedCommunity,Gated community
http://dbpedia.org/ontology/Intercommunality,Intercommunality
http://dbpedia.org/ontology/Island,island
http://dbpedia.org/ontology/Locality,locality
http://dbpedia.org/ontology/Region,region
http://dbpedia.org/ontology/Settlement,settlement
http://dbpedia.org/ontology/State,state
http://dbpedia.org/ontology/Street,street
http://dbpedia.org/ontology/Territory,territory
http://dbpedia.org/ontology/PopulatedPlace,populated place
